Субъект РФ;Год;Ввод в действие жилых домов (всего тыс. кв.м. общей площади жилых помещений)
Ростовская область;2008;2008.4
г. Севастополь;2008;0
Северо-Кавказский        федеральный округ;2008;2629.1
Республика Дагестан;2008;907.1
Республика Ингушетия;2008;62.2
Кабардино-Балкарская Республика;2008;247.3
Карачаево-Черкесская Республика;2008;95.5
Республика Северная Осетия - Алания;2008;196.9
Чеченская Республика;2008;55
Ставропольский край;2008;1065.1
Приволжский федеральный округ;2008;13563.9
Республика Башкортостан;2008;2351.8
Республика Марий Эл;2008;298.8
Республика Мордовия;2008;284.1
Республика Татарстан;2008;2222.5
Удмуртская Республика;2008;486.4
Чувашская Республика;2008;977.8
Пермский край;2008;832.8
Кировская область;2008;425.8
Нижегородская область ;2008;1353.9
Оренбургская область;2008;775.9
Пензенская область;2008;605.1
Самарская область;2008;1328.2
Саратовская область;2008;1112.5
Ульяновская область;2008;508.5
Уральский         федеральный округ;2008;6227.5
Курганская область;2008;281.1
Свердловская область ;2008;1702
Тюменская область;2008;2220.4
в том числе:;2008;0
Ханты-Мансийский автономный округ - Югра;2008;891.5
Ямало-Ненецкий автономный округ;2008;229.6
Тюменская область  без автономных округов;2008;1099.3
Челябинская область;2008;2024
Сибирский        федеральный округ;2008;6609
Республика Алтай;2008;58.4
Республика Тыва;2008;44.5
Республика Хакасия;2008;192.7
Алтайский край;2008;631.9
Красноярский край;2008;1101.6
Иркутская область;2008;584.9
Кемеровская область;2008;1063.1
Новосибирская область ;2008;1392.2
Омская область;2008;1015.7
Томская область;2008;524
Дальневосточный федеральный округ;2008;1989
Республика Бурятия;2008;307.2
Республика Саха (Якутия);2008;290.9
Забайкальский край;2008;258.6
Камчатский край;2008;63.4
Приморский край;2008;375.4
Хабаровский край ;2008;303.9
Амурская область;2008;184.9
Магаданская область;2008;15
Сахалинская область;2008;148.9
Еврейская автономная область;2008;39.4
Чукотский автономный округ;2008;1.6
Центральный федеральный округ;2009;18893.4
Белгородская область;2009;1097.3
Брянская область;2009;352.9
Владимирская область;2009;451
Воронежская область;2009;887.7
Ивановская область;2009;186.5
Калужская область;2009;456.7
Костромская область;2009;180.4
Курская область;2009;456.1
Липецкая область;2009;731.5
Московская область;2009;8452
Орловская область;2009;301.6
Рязанская область;2009;509.8
Смоленская область;2009;345.7
Тамбовская область;2009;559.2
Тверская область;2009;450.4
Тульская область;2009;394.8
Ярославская область;2009;376.4
г. Москва;2009;2703.5
Северо-Западный федеральный округ;2009;5720
Республика Карелия;2009;164.7
Республика Коми;2009;120.1
Архангельская область;2009;243.5
в том числе: ;2009;0
Ненецкий автономный округ;2009;42.6
Архангельская область без автономного округа;2009;201
Вологодская область;2009;489.9
Калининградская область;2009;607.8
Ленинградская область;2009;1030.7
Мурманская область;2009;22.1
Новгородская область;2009;246.2
