Субъекты РФ;Год;Доходы консолидированных бюджетов субъектов российской федерации (млн. руб.);Расходы консолидированных бюджетов субъектов российской федерации (млн. руб.)
Северо-Кавказский      федеральный округ;2021;0;0
Республика Дагестан;2021;185899.9284;181059.9375
Республика Ингушетия;2021;39571.19162;39551.92396
Кабардино-Балкарская Республика;2021;57219.11223;55647.01196
Карачаево-Черкесская Республика;2021;38918.86248;37923.56398
Республика Северная   Осетия – Алания ;2021;51424.72739;50186.40146
Чеченская Республика;2021;138140.3829;140212.9944
Ставропольский край;2021;184894.9897;171309.4999
Приволжский    федеральный округ;2021;0;0
Республика Башкортостан;2021;290224.4291;299013.2481
Республика Марий Эл;2021;55162.11408;51380.43698
Республика Мордовия;2021;66107.33723;62160.94722
Республика Татарстан;2021;410942.1613;398093.2332
Удмуртская Республика;2021;117721.3214;121804.3224
Чувашская Республика;2021;85336.67869;85185.22777
Пермский край;2021;249383.8336;221755.6764
Кировская область;2021;98046.31715;91051.03337
Нижегородская область;2021;288163.6776;283670.322
Оренбургская область;2021;161941.8369;144285.2324
Пензенская область;2021;88691.43898;83918.07009
Самарская область;2021;306133.6208;278378.5464
Саратовская область;2021;168373.634;164985.8672
Ульяновская область;2021;92648.31702;99840.96331
Уральский        федеральный округ;2021;0;0
Курганская область;2021;67892.47185;67145.65996
Свердловская область;2021;427621.3386;410687.5823
Тюменская область;2021;274276.0032;249909.5348
Челябинская область;2021;320817.2438;272237.1435
Ханты-Мансийский      автономный округ – Югра;2021;336818.4109;339056.9071
Ямало-Ненецкий автономный округ;2021;285091.3247;264700.6069
Сибирский     федеральный округ;2021;0;0
Республика Алтай;2021;31772.92372;31470.34551
Республика Тыва;2021;53498.18726;53853.0992
Республика Хакасия;2021;54124.20565;51992.44689
Алтайский край;2021;173339.3191;164506.3781
Красноярский край;2021;464956.9846;367958.6586
Иркутская область;2021;291266.789;273096.8195
Кемеровская область;2021;278034.7558;243445.8022
Новосибирская область;2021;280434.2065;263362.4767
Омская область;2021;146601.0411;149864.6235
Томская область;2021;99721.77716;104259.5386
Дальневосточный федеральный округ;2021;0;0
Республика Бурятия;2021;105771.9254;106272.9297
Республика Саха (Якутия);2021;358298.5715;319247.216
Забайкальский край;2021;113925.0961;115032.7915
Камчатский край;2021;115358.7244;114653.0249
Приморский край;2021;199109.2252;197526.7529
Хабаровский край;2021;165526.7423;159371.7181
Амурская область;2021;118629.5395;123770.723
Магаданская область;2021;57680.5711;57065.46045
Сахалинская область;2021;187448.1374;185744.5368
Еврейская автономная    область;2021;24315.33508;21832.04043
Чукотский автономный округ;2021;53866.3796;55948.68874
