Субъекты РФ;Год;Доходы консолидированных бюджетов субъектов российской федерации (млн. руб.);Расходы консолидированных бюджетов субъектов российской федерации (млн. руб.)
Приволжский    федеральный округ;2006;0;0
Республика Башкортостан;2006;83566.2;74930.1
Республика Марий Эл;2006;10463.8;10607
Республика Мордовия;2006;14339.4;16236.2
Республика Татарстан;2006;88326.7;86262
Удмуртская Республика;2006;25330.5;26433.3
Чувашская Республика;2006;19171.7;19670.7
Пермский край;2006;59912.2;57583.2
Кировская область;2006;21644;21980.2
Нижегородская область;2006;58522.3;54277.1
Оренбургская область;2006;35797.5;35582.3
Пензенская область;2006;19758;19706.8
Самарская область;2006;67692.3;70833.9
Саратовская область;2006;32904.1;33728
Ульяновская область;2006;20418.4;19205.6
Уральский        федеральный округ;2006;0;0
Курганская область;2006;13442.6;13699
Свердловская область;2006;97862.3;91074.3
Тюменская область;2006;159321.8;145808.7
Челябинская область;2006;66867.9;59100
Ханты-Мансийский      автономный округ – Югра;2006;121069.2;131153.8
Ямало-Ненецкий автономный округ;2006;64617.5;64269.9
Сибирский     федеральный округ;2006;0;0
Республика Алтай;2006;7343.1;7255.4
Республика Тыва;2006;7539.8;7585.2
Республика Хакасия;2006;8906.4;8862.9
Алтайский край;2006;35889.8;34964.8
Красноярский край;2006;99688.6;89483.9
Иркутская область;2006;53014.5;54777.6
Кемеровская область;2006;63416.4;66026.8
Новосибирская область;2006;51639.2;50061.9
Омская область;2006;41607.3;44951.8
Томская область;2006;25896.2;25523.1
Дальневосточный федеральный округ;2006;0;0
Республика Бурятия;2006;21333.2;21141.4
Республика Саха (Якутия);2006;56028;60737.1
Забайкальский край;2006;39267.4;34813.4
Камчатский край;2006;21668.1;21926.7
Приморский край;2006;42168.2;41028.2
Хабаровский край;2006;38941.4;37638.8
Амурская область;2006;20778.5;21268
Магаданская область;2006;10294.9;11316.7
Сахалинская область;2006;24252.7;23845.5
Еврейская автономная    область;2006;4646.4;4463.4
Чукотский автономный округ;2006;9585.3;9452.8
Центральный федеральный округ;2007;0;0
Белгородская область;2007;41516.5;42366.5
Брянская область;2007;22268.2;23011.1
Владимирская область;2007;29537.9;29327
Воронежская область;2007;41297.2;40754.3
Ивановская область;2007;22018.6;21959.4
Калужская область;2007;25679.1;25911
Костромская область;2007;13677.3;14467.6
Курская область;2007;22296.2;21729.9
Липецкая область;2007;30634.7;32315.8
Московская область;2007;234430.4;256130.6
Орловская область;2007;14191;13473.8
Рязанская область;2007;22393.7;23639.3
Смоленская область;2007;17494.5;17065.4
Тамбовская область;2007;19860.6;20506.9
