Субъекты РФ;Год;Экспорт (млн. дол. США);Импорт (млн. дол. США)
Республика Марий Эл;2021;3716.7;901.7
Республика Мордовия;2021;324.6;134.1
Республика Татарстан;2021;375.8;147.2
Удмуртская Республика;2021;12072.9;5475
Чувашская Республика;2021;600.2;565.2
Пермский край;2021;301.6;322.1
Кировская область;2021;7949.4;847.2
Нижегородская область ;2021;1258.3;453.9
Оренбургская область;2021;6632.3;3212.4
Пензенская область;2021;2628.6;295.5
Самарская область;2021;358;359.4
Саратовская область;2021;5181.7;2879.2
Ульяновская область;2021;2263.2;955.3
Уральский         федеральный округ;2021;585.7;729
Курганская область;2021;41610.2;15226.4
Свердловская область ;2021;142.3;112.6
Тюменская область;2021;9287.3;8010.7
в том числе:;2021;24827.7;3579.2
Ханты-Мансийский автономный округ - Югра;2021;0;0
Ямало-Ненецкий автономный округ;2021;17484.2;458.9
Тюменская область  без автономных округов;2021;5722.3;1976.8
Челябинская область;2021;1621.1;1143.6
Сибирский        федеральный округ;2021;7353;3523.8
Республика Алтай;2021;40183.1;11260.2
Республика Тыва;2021;75.8;15.8
Республика Хакасия;2021;140.2;12.2
Алтайский край;2021;2681.6;419.3
Красноярский край;2021;1148.2;680.9
Иркутская область;2021;7164.7;2668.1
Кемеровская область;2021;8385.5;2126.9
Новосибирская область ;2021;15326.8;825.7
Омская область;2021;3837.6;3749.6
Томская область;2021;996.8;414.3
Дальневосточный федеральный округ;2021;426;347.6
Республика Бурятия;2021;28607.9;10587.6
Республика Саха (Якутия);2021;1329.5;88.1
Забайкальский край;2021;5550.5;180
Камчатский край;2021;1458.2;633.3
Приморский край;2021;977.1;213.6
Хабаровский край ;2021;3428.2;7219.4
Амурская область;2021;2538.9;1109.9
Магаданская область;2021;627.2;532
Сахалинская область;2021;551.8;94.8
Еврейская автономная область;2021;11469.5;425.2
Чукотский автономный округ;2021;395.4;10.9
