Субъекты РФ;Год;Экспорт (млн. дол. США);Импорт (млн. дол. США)
Томская область;2006;4819.8;411.9
Дальневосточный федеральный округ;2006;719.5;135.1
Республика Бурятия;2006;8688.3;7184.7
Республика Саха (Якутия);2006;281.1;71.8
Забайкальский край;2006;2155.8;86.5
Камчатский край;2006;250.5;249.1
Приморский край;2006;144;57.2
Хабаровский край ;2006;1071.7;2947.2
Амурская область;2006;3437.2;883
Магаданская область;2006;156.8;145
Сахалинская область;2006;20;84.3
Еврейская автономная область;2006;1037.4;2575.7
Чукотский автономный округ;2006;11.7;17.4
Центральный федеральный округ;2007;351919;199730
Белгородская область;2007;145426.4;111818.7
Брянская область;2007;2320.4;4044.4
Владимирская область;2007;683;781.4
Воронежская область;2007;463.1;823.4
Ивановская область;2007;962.5;827.4
Калужская область;2007;147.2;330.5
Костромская область;2007;263.7;2363.6
Курская область;2007;248.8;140.6
Липецкая область;2007;617.7;363
Московская область;2007;3820.3;1075.1
Орловская область;2007;3721.5;13529.6
Рязанская область;2007;301.4;596.4
Смоленская область;2007;279.3;490.9
Тамбовская область;2007;745.5;595.9
Тверская область;2007;86.8;147.9
Тульская область;2007;203.6;378.8
Ярославская область;2007;2657.6;634.1
г. Москва;2007;509.2;328.1
Северо-Западный федеральный округ;2007;127394.9;84367.7
Республика Карелия;2007;36639.7;36997.8
Республика Коми;2007;1228.2;339.5
Архангельская область;2007;1077.2;227
в том числе: ;2007;1407.5;328.1
Ненецкий автономный округ;2007;0;0
Архангельская область без автономного округа;2007;228.7;4.6
Вологодская область;2007;1178.8;323.5
Калининградская область;2007;2927.5;503.4
Ленинградская область;2007;597.7;7858.7
Мурманская область;2007;8281;6538.3
Новгородская область;2007;2118.5;282.7
