Субъект РФ;Год;Среднегодовая численность занятых (тыс. чел);Численность безработных (тыс. чел);Численность незанятых граждан, состоящих на учете в органах службы занятости населения в целях поиска подходящей работы (тыс. чел)
Вологодская область;2003;619.2;31;12.8
Калининградская область;2003;420.2;38;10.5
Ленинградская область;2003;725.3;75;10.6
Мурманская область;2003;436.7;52;23.2
Новгородская область;2003;313.8;18;5
Псковская область;2003;326.5;30;9.2
г. Санкт-Петербург;2003;2410.2;105;51.1
Южный             федеральный округ;2003;5987.1;750;87.2
Республика Адыгея;2003;156.3;29;7.6
Республика Калмыкия;2003;116.5;24;4.7
Республика Крым;2003;0;0;0
Краснодарский край;2003;2145.8;238;17.4
Астраханская область;2003;438;52;11.6
Волгоградская область;2003;1248.9;144;17.8
Ростовская область;2003;1881.7;263;28.2
г. Севастополь;2003;0;0;0
Северо-Кавказский        федеральный округ;2003;2750.4;575;453.7
Республика Дагестан;2003;820.6;213;54.9
Республика Ингушетия;2003;62.3;68;26.9
Кабардино-Балкарская Республика;2003;315.7;91;20.6
Карачаево-Черкесская Республика;2003;153.2;35;2.8
Республика Северная Осетия - Алания;2003;280.3;34;5.3
Чеченская Республика;2003;…;…;328.8
Ставропольский край;2003;1118.3;134;14.5
Приволжский федеральный округ;2003;14417.3;1183;250.7
Республика Башкортостан;2003;1788.8;164;28.4
Республика Марий Эл;2003;323.4;42;10.3
Республика Мордовия;2003;399.8;33;8.2
Республика Татарстан;2003;1745.6;125;26.3
Удмуртская Республика;2003;774;53;18.4
Чувашская Республика;2003;604.3;55;13.8
Пермский край;2003;1343;103;20.7
Кировская область;2003;706.8;58;23.7
Нижегородская область ;2003;1717.7;112;15
Оренбургская область;2003;1012.8;117;7.9
Пензенская область;2003;645.8;64;13
Самарская область;2003;1574.2;74;29.1
Саратовская область;2003;1176.7;135;19.3
Ульяновская область;2003;604.5;48;16.7
Уральский         федеральный округ;2003;5993.3;480;131.4
Курганская область;2003;437.3;46;10.9
Свердловская область ;2003;2056.7;178;45.8
Тюменская область;2003;1865.2;148;42.3
в том числе:;2003;0;0;0
Ханты-Мансийский автономный округ - Югра;2003;879.8;78;24.1
Ямало-Ненецкий автономный округ;2003;353;17;8.2
Тюменская область  без автономных округов;2003;632.4;54;10
Челябинская область;2003;1634;106;32.4
Сибирский        федеральный округ;2003;7935.5;973;291.2
Республика Алтай;2003;82.9;9;3.7
Республика Тыва;2003;103.2;28;17.1
Республика Хакасия;2003;239.5;28;9.6
Алтайский край;2003;1095;155;51.9
Красноярский край;2003;1409.1;147;59.5
Иркутская область;2003;1138.4;145;32.2
Кемеровская область;2003;1263.1;144;50.4
Новосибирская область ;2003;1192.6;150;18.5
Омская область;2003;938;96;24
Томская область;2003;473.6;69;24.2
Дальневосточный федеральный округ;2003;4090.4;455;150.5
Республика Бурятия;2003;380.8;81;10.1
Республика Саха (Якутия);2003;463.9;47;7.1
Забайкальский край;2003;470.3;73;19.6
Камчатский край;2003;180.6;26;9.7
Приморский край;2003;979.4;90;41.9
Хабаровский край ;2003;706.3;47;30.9
Амурская область;2003;425.8;45;16.5
Магаданская область;2003;97.7;11;5.8
Сахалинская область;2003;271.8;28;6.4
Еврейская автономная область;2003;79.5;6;1.3
Чукотский автономный округ;2003;34.2;2;1.2
Центральный федеральный округ;2004;18229;930;299.5
Белгородская область;2004;670.7;46;12.1
Брянская область;2004;601;58;13
Владимирская область;2004;713.5;73;20.4
Воронежская область;2004;1059.6;96;21.6
Ивановская область;2004;480.6;27;14.6
Калужская область;2004;479.3;35;5.6
Костромская область;2004;325.6;22;6.5
Курская область;2004;595.6;44;10.9
Липецкая область;2004;551.1;26;5.5
Московская область;2004;2689.5;140;44.6
Орловская область;2004;411.2;27;12.2
Рязанская область;2004;529.5;34;8.9
Смоленская область;2004;478.7;48;6.1
Тамбовская область;2004;500.8;50;14.3
Тверская область;2004;628.6;39;9.2
Тульская область;2004;773.7;39;10.4
Ярославская область;2004;661.4;32;12.5
г. Москва;2004;6078.7;96;71.2
Северо-Западный федеральный округ;2004;6700.1;443;185.7
Республика Карелия;2004;349.9;28;13.9
Республика Коми;2004;466.1;66;19.5
