Субъект РФ;Год;Среднегодовая численность занятых (тыс. чел);Численность безработных (тыс. чел);Численность незанятых граждан, состоящих на учете в органах службы занятости населения в целях поиска подходящей работы (тыс. чел)
Республика Хакасия;2019;220.6;15;3.7
Алтайский край;2019;1018.1;66;17.9
Красноярский край;2019;1405.2;67;14.1
Иркутская область;2019;1082.3;77;14.6
Кемеровская область;2019;1177.2;71;19.6
Новосибирская область ;2019;1324.1;87;14.3
Омская область;2019;883.6;65;13.6
Томская область;2019;501.6;30;6.8
Дальневосточный федеральный округ;2019;3954.7;254;55
Республика Бурятия;2019;367.4;40;5.1
Республика Саха (Якутия);2019;504.9;34;9.7
Забайкальский край;2019;457.6;49;5.8
Камчатский край;2019;165.4;7;3
Приморский край;2019;938.8;52;10.8
Хабаровский край ;2019;667.8;27;6.4
Амурская область;2019;387.7;22;9.1
Магаданская область;2019;90.4;4;1.4
Сахалинская область;2019;277.8;14;2.1
Еврейская автономная область;2019;63.6;5;1
Чукотский автономный округ;2019;33.5;1;0.7
Центральный федеральный округ;2020;20765.6;829;509.6
Белгородская область;2020;751.9;41;10.4
Брянская область;2020;498.5;23;14.1
Владимирская область;2020;618.6;40;25.5
Воронежская область;2020;1088.1;50;39.1
Ивановская область;2020;428.6;28;22.5
Калужская область;2020;495;25;8.5
Костромская область;2020;271.9;17;11.7
Курская область;2020;492.1;27;16.2
Липецкая область;2020;556;26;7.1
Московская область;2020;3422.7;150;138.5
Орловская область;2020;293.8;21;6.7
Рязанская область;2020;472.7;28;17
Смоленская область;2020;407.2;25;18.9
Тамбовская область;2020;449;23;6.3
Тверская область;2020;576;29;21.5
Тульская область;2020;705.1;35;18
Ярославская область;2020;597.5;47;15
г. Москва;2020;8641;193;112.6
Северо-Западный федеральный округ;2020;6954.2;375;281.1
Республика Карелия;2020;260.1;26;14
Республика Коми;2020;383.2;32;15.9
Архангельская область;2020;497.7;40;24.4
в том числе: ;2020;0;0;0
Ненецкий автономный округ;2020;31.2;2;0.7
Архангельская область без автономного округа;2020;466.5;38;23.7
Вологодская область;2020;517.6;35;26.4
Калининградская область;2020;472.8;31;32.8
Ленинградская область;2020;782.6;52;32.5
Мурманская область;2020;348.3;32;12.6
Новгородская область;2020;258.8;17;12.7
Псковская область;2020;272;20;7.5
г. Санкт-Петербург;2020;3161.1;90;102.5
Южный             федеральный округ;2020;7328.9;499;375.3
Республика Адыгея;2020;152.2;17;11
Республика Калмыкия;2020;104;13;8.5
Республика Крым;2020;843;58;50.1
Краснодарский край;2020;2609.1;160;129.7
Астраханская область;2020;444.2;40;29.9
Волгоградская область;2020;1072.6;94;32.8
Ростовская область;2020;1909.4;106;109.9
г. Севастополь;2020;194.3;10;3.2
Северо-Кавказский        федеральный округ;2020;3739.1;626;488.3
Республика Дагестан;2020;1022.9;202;107
Республика Ингушетия;2020;182.2;78;47.8
Кабардино-Балкарская Республика;2020;360.6;67;74.8
Карачаево-Черкесская Республика;2020;161.8;30;22.7
Республика Северная Осетия - Алания;2020;248.7;44;19.5
Чеченская Республика;2020;515.1;121;126
Ставропольский край;2020;1247.9;85;90.4
Приволжский федеральный округ;2020;13114.1;755;490.2
Республика Башкортостан;2020;1588.9;112;108.3
Республика Марий Эл;2020;264.5;22;9.4
Республика Мордовия;2020;365.4;22;11.5
Республика Татарстан;2020;1938.8;74;42.1
Удмуртская Республика;2020;678.4;48;17
Чувашская Республика;2020;478.9;37;16.3
Пермский край;2020;1108.5;70;37.4
Кировская область;2020;552.2;34;25.6
Нижегородская область ;2020;1603.6;80;58.5
Оренбургская область;2020;832.3;55;41
Пензенская область;2020;555.9;32;18.2
Самарская область;2020;1597.4;75;44.9
Саратовская область;2020;1009.4;65;38.1
Ульяновская область;2020;539.8;29;22
Уральский         федеральный округ;2020;6177.7;348;278.9
Курганская область;2020;309.8;30;28
Свердловская область ;2020;1954.9;122;121.2
Тюменская область;2020;2196;70;62
в том числе:;2020;0;0;0
Ханты-Мансийский автономный округ - Югра;2020;1066.1;27;31.3
Ямало-Ненецкий автономный округ;2020;417.2;7;7.5
Тюменская область  без автономных округов;2020;712.7;35;23.2
Челябинская область;2020;1717;126;67.7
Сибирский        федеральный округ;2020;7572;616;380.8
Республика Алтай;2020;80.6;14;10.1
Республика Тыва;2020;101.9;24;17.8
Республика Хакасия;2020;207.6;21;13.5
Алтайский край;2020;976;65;37.4
Красноярский край;2020;1363.9;88;57.4
Иркутская область;2020;1051.5;89;32
Кемеровская область;2020;1146.5;85;51.7
Новосибирская область ;2020;1288.2;93;73.2
Омская область;2020;876.6;91;54.5
Томская область;2020;479.1;46;33.1
Дальневосточный федеральный округ;2020;3898.6;274;148.7
Республика Бурятия;2020;352.8;45;22.1
Республика Саха (Якутия);2020;492.4;37;29.7
Забайкальский край;2020;452.5;51;29.9
Камчатский край;2020;167;7;4.2
Приморский край;2020;924.7;55;18.9
Хабаровский край ;2020;666.5;29;19.8
Амурская область;2020;381.2;24;13.6
Магаданская область;2020;88.8;5;2.4
Сахалинская область;2020;275.4;15;4.6
Еврейская автономная область;2020;63.9;5;2.8
Чукотский автономный округ;2020;33.5;1;0.7
Центральный федеральный округ;2021;20906.2;744;163.5
Белгородская область;2021;761.5;35;5.1
Брянская область;2021;511.3;20;5.4
Владимирская область;2021;616.1;28;6.1
Воронежская область;2021;1112.9;45;14.1
Ивановская область;2021;443.5;24;5.2
Калужская область;2021;508.6;22;3.2
Костромская область;2021;273.7;13;3.1
Курская область;2021;509.3;23;4.4
Липецкая область;2021;559.4;25;3.8
Московская область;2021;3488.4;140;25.3
Орловская область;2021;299.2;16;3.1
Рязанская область;2021;487.2;21;5.9
Смоленская область;2021;411.6;24;5.5
Тамбовская область;2021;451.8;20;3.6
Тверская область;2021;571.3;25;5.6
Тульская область;2021;713;30;4.4
Ярославская область;2021;611.5;39;8
г. Москва;2021;8576;193;51.7
Северо-Западный федеральный округ;2021;7047.9;289;91.2
Республика Карелия;2021;264.9;19;6.1
Республика Коми;2021;377.3;29;8.2
Архангельская область;2021;509.1;37;10.2
в том числе: ;2021;0;0;0
Ненецкий автономный округ;2021;30;2;0.5
Архангельская область без автономного округа;2021;479.1;35;9.7
Вологодская область;2021;515.1;26;8.1
Калининградская область;2021;489.7;27;9.7
Ленинградская область;2021;800.7;37;5.2
Мурманская область;2021;356.5;24;6.6
Новгородская область;2021;264.5;12;3.1
Псковская область;2021;274.5;15;3
г. Санкт-Петербург;2021;3195.6;63;31.1
Южный             федеральный округ;2021;7563.7;421;85.9
Республика Адыгея;2021;152.4;17;2.1
Республика Калмыкия;2021;105.1;12;2.3
Республика Крым;2021;850.2;53;12.8
Краснодарский край;2021;2703.1;142;24.8
Астраханская область;2021;457.8;39;11.3
Волгоградская область;2021;1105.7;62;9.3
Ростовская область;2021;1984.6;86;22.1
г. Севастополь;2021;205;10;1.1
Северо-Кавказский        федеральный округ;2021;3842;577;163.4
Республика Дагестан;2021;1060;206;34.6
Республика Ингушетия;2021;184.1;82;39.5
Кабардино-Балкарская Республика;2021;363.7;53;12
Карачаево-Черкесская Республика;2021;168.8;26;3.4
Республика Северная Осетия - Алания;2021;255.4;42;5.4
Чеченская Республика;2021;538.8;95;54.6
Ставропольский край;2021;1271.1;72;13.9
Приволжский федеральный округ;2021;13436.9;606;138.5
Республика Башкортостан;2021;1650.9;83;23.4
Республика Марий Эл;2021;270.9;18;3.2
Республика Мордовия;2021;374;18;4
Республика Татарстан;2021;1985.8;54;13.1
Удмуртская Республика;2021;693.7;34;8.3
Чувашская Республика;2021;494.1;29;5.6
Пермский край;2021;1153.5;57;12
Кировская область;2021;557.4;31;8.2
Нижегородская область ;2021;1637.9;73;9.4
Оренбургская область;2021;853;44;15.5
Пензенская область;2021;579.3;28;5.8
Самарская область;2021;1620.9;58;14.9
Саратовская область;2021;1024.4;52;10.2
Ульяновская область;2021;541.1;26;4.7
Уральский         федеральный округ;2021;6310.9;268;75
Курганская область;2021;302.8;28;7.8
Свердловская область ;2021;2024;86;30.2
Тюменская область;2021;2237.5;63;13.8
в том числе:;2021;0;0;0
Ханты-Мансийский автономный округ - Югра;2021;1086.9;24;6.1
Ямало-Ненецкий автономный округ;2021;424.1;7;2
Тюменская область  без автономных округов;2021;726.5;32;5.7
Челябинская область;2021;1746.6;92;23.3
Сибирский        федеральный округ;2021;7764.8;487;135.8
Республика Алтай;2021;82.4;12;3.1
Республика Тыва;2021;103.7;19;11.3
Республика Хакасия;2021;228.4;16;4.6
Алтайский край;2021;1006.3;61;17.5
Красноярский край;2021;1408.7;52;16
Иркутская область;2021;1073.1;69;14.1
Кемеровская область;2021;1156.6;69;14
Новосибирская область ;2021;1328.3;87;27.2
Омская область;2021;877.8;65;18.7
Томская область;2021;499.5;37;9.4
Дальневосточный федеральный округ;2021;3945.5;239;65.3
Республика Бурятия;2021;370.9;41;5.3
Республика Саха (Якутия);2021;495.7;34;9.8
Забайкальский край;2021;456.8;49;10.4
Камчатский край;2021;172;6;2.8
Приморский край;2021;936.2;42;12.6
Хабаровский край ;2021;674.4;22;11.2
Амурская область;2021;381.4;21;6.9
Магаданская область;2021;90.2;4;1.3
Сахалинская область;2021;270.8;14;3
Еврейская автономная область;2021;62.2;4;1.5
Чукотский автономный округ;2021;35;1;0.6
