Субъект РФ;Год;Инвестиции в основной капитал (млн. руб.);Основные фонды в экономике (млн. руб.);Ввод в действие основных фондов (млн. руб.)
Республика Ингушетия;2019;24158.307;174926;13900
Кабардино-Балкарская Республика;2019;42287.082;528349;22083
Карачаево-Черкесская Республика;2019;23828.007;375261;20716
Республика Северная Осетия - Алания;2019;33887.177;315379;20351
Чеченская Республика;2019;79776.629;864942;73068
Ставропольский край;2019;196247.464;3086148;153105
Приволжский федеральный округ;2019;2718576.717;50204844;3074437
Республика Башкортостан;2019;337710.768;6522045;342097
Республика Марий Эл;2019;27500.514;929979;42099
Республика Мордовия;2019;53072.645;1068465;48973
Республика Татарстан;2019;640837.132;9066898;814506
Удмуртская Республика;2019;105780.533;2269461;102230
Чувашская Республика;2019;65416.824;1500573;76761
Пермский край;2019;283775.714;5873286;295754
Кировская область;2019;72234.217;1514275;82317
Нижегородская область ;2019;295252.211;5632296;379262
Оренбургская область;2019;212039.44;3207320;198855
Пензенская область;2019;89372.635;1903098;84646
Самарская область;2019;293732.013;6032634;417310
Саратовская область;2019;162120.283;3428386;124394
Ульяновская область;2019;79731.788;1256128;65233
Уральский         федеральный округ;2019;2967330.371;47508226;3216518
Курганская область;2019;40743.333;919268;29759
Свердловская область ;2019;392686.696;7944607;362560
Тюменская область;2019;2233019.866;33065967;2498428
в том числе:;2019;0;0;0
Ханты-Мансийский автономный округ - Югра;2019;986456.304;15309437;996309
Ямало-Ненецкий автономный округ;2019;943832.98;13937298;1137262
Тюменская область  без автономных округов;2019;302730.582;3819232;364857
Челябинская область;2019;300880.476;5578384;325771
Сибирский        федеральный округ;2019;1798324.666;24264590;1760995
Республика Алтай;2019;21027.489;175992;14941
Республика Тыва;2019;18914.727;209205;20155
Республика Хакасия;2019;32660.981;884131;76574
Алтайский край;2019;112771.283;1487427;112307
Красноярский край;2019;436406.673;4856289;388668
Иркутская область;2019;366723.743;4097950;333321
Кемеровская область;2019;288407.374;4113114;271694
Новосибирская область ;2019;247429.347;4857348;370414
Омская область;2019;172266.656;1937734;85808
Томская область;2019;101716.393;1645400;87113
Дальневосточный федеральный округ;2019;1660711.058;20042137;1898796
Республика Бурятия;2019;72830.638;1156759;111336
Республика Саха (Якутия);2019;420943.741;3588703;717573
Забайкальский край;2019;96182.444;1526075;133102
Камчатский край;2019;46742.59;781855;54848
Приморский край;2019;182119.211;3587066;180358
Хабаровский край ;2019;178207.844;2954280;257845
Амурская область;2019;340966.49;1886666;174009
Магаданская область;2019;41237.345;474377;44444
Сахалинская область;2019;238383.696;3523653;182772
Еврейская автономная область;2019;15885.615;350513;19161
Чукотский автономный округ;2019;27211.444;212190;23348
Центральный федеральный округ;2020;6581103.82;128407381;6387976
Белгородская область;2020;169508.059;2928570;151670
Брянская область;2020;73672.634;1855052;66049
Владимирская область;2020;95285.935;1993876;79145
Воронежская область;2020;259172.458;4156859;324928
Ивановская область;2020;44387.879;1179149;30755
Калужская область;2020;112163.651;2397479;133675
Костромская область;2020;28311.33;935304;28618
Курская область;2020;136892.817;1639398;70052
Липецкая область;2020;171804.181;2144115;128248
Московская область;2020;1077672.088;27739726;1570463
Орловская область;2020;55049;1093472;59654
Рязанская область;2020;62505.332;2286316;104092
Смоленская область;2020;64975.698;1520329;58500
Тамбовская область;2020;74770.114;1577441;66389
Тверская область;2020;84863.186;2889869;155985
Тульская область;2020;137984.012;2645859;115736
Ярославская область;2020;92691.029;2685041;97960
г. Москва;2020;3839394.417;66739526;3146057
Северо-Западный федеральный округ;2020;2156552.414;46317861;2381892
Республика Карелия;2020;55610.027;1168867;42887
Республика Коми;2020;137765.136;4239828;121972
Архангельская область;2020;197761.373;3475903;159948
в том числе: ;2020;0;0;0
Ненецкий автономный округ;2020;89613.127;1132844;73883
Архангельская область без автономного округа;2020;108148.246;2343059;86065
Вологодская область;2020;207940.132;3050642;175872
Калининградская область;2020;100839.346;2247224;218849
Ленинградская область;2020;405306.639;5544048;340632
Мурманская область;2020;199672.319;2708989;187351
Новгородская область;2020;47745.855;1366977;38531
Псковская область;2020;38418.128;835721;37429
г. Санкт-Петербург;2020;765493.459;21679662;1058421
Южный             федеральный округ;2020;1433443.774;29630015;1379897
Республика Адыгея;2020;44261.616;502126;52355
Республика Калмыкия;2020;38269.113;372535;35527
Республика Крым;2020;195807.807;2758289;62556
Краснодарский край;2020;502090.777;13020366;670087
Астраханская область;2020;115116.11;2163641;80995
Волгоградская область;2020;182930.122;2830578;158144
Ростовская область;2020;328055.191;7018721;278747
г. Севастополь;2020;26913.038;963759;41486
Северо-Кавказский        федеральный округ;2020;705596.495;7645327;401912
Республика Дагестан;2020;273438.132;2033594;85440
Республика Ингушетия;2020;20353.802;192951;20729
Кабардино-Балкарская Республика;2020;49060.3;536039;29444
Карачаево-Черкесская Республика;2020;22732.312;424243;18370
Республика Северная Осетия - Алания;2020;31172.07;361116;52117
Чеченская Республика;2020;76462.809;870746;54969
Ставропольский край;2020;232377.07;3226638;140843
Приволжский федеральный округ;2020;2800536.074;52049480;2393021
Республика Башкортостан;2020;380766.235;6698420;276656
Республика Марий Эл;2020;35784.059;933112;31029
Республика Мордовия;2020;44674.901;1117572;40629
Республика Татарстан;2020;615593.41;9232012;519862
Удмуртская Республика;2020;120463.135;2437509;73576
Чувашская Республика;2020;55858.411;1543572;56814
Пермский край;2020;281563.227;6327648;328695
Кировская область;2020;67878.934;1533619;61785
Нижегородская область ;2020;370871.737;5857122;261646
Оренбургская область;2020;201333.41;3380834;154425
Пензенская область;2020;94531.453;1952146;77471
Самарская область;2020;282593.131;6253035;326946
Саратовская область;2020;167077.948;3498073;132399
Ульяновская область;2020;81546.083;1284806;51088
Уральский         федеральный округ;2020;3071647.75;49847612;2913148
Курганская область;2020;42641.534;954823;36164
Свердловская область ;2020;408705.908;8183181;314990
Тюменская область;2020;2298102.024;34899529;2246443
в том числе:;2020;0;0;0
Ханты-Мансийский автономный округ - Югра;2020;1006037.275;15853191;886633
Ямало-Ненецкий автономный округ;2020;991793.855;14666506;694959
Тюменская область  без автономных округов;2020;300270.894;4379832;664851
Челябинская область;2020;322198.284;5810079;315551
Сибирский        федеральный округ;2020;1902721.579;26548034;1398207
Республика Алтай;2020;13988.736;188994;8323
Республика Тыва;2020;19303.95;220857;18491
Республика Хакасия;2020;34675.932;850248;25572
Алтайский край;2020;121960.596;1392252;78391
Красноярский край;2020;480202.659;6591186;383273
Иркутская область;2020;389990.112;4294407;254795
Кемеровская область;2020;275044.606;4266709;223295
Новосибирская область ;2020;265705.908;4985873;234563
Омская область;2020;200449.897;2034388;102676
Томская область;2020;101399.183;1723120;68828
Дальневосточный федеральный округ;2020;1651285.404;21745940;1265536
Республика Бурятия;2020;65157.404;1232213;67115
Республика Саха (Якутия);2020;259086.513;3956647;346441
Забайкальский край;2020;126879.966;1656340;107884
Камчатский край;2020;58395.126;863987;48937
Приморский край;2020;229460.526;3657569;129927
Хабаровский край ;2020;243359.341;3079309;217142
Амурская область;2020;343411.597;2159954;95786
Магаданская область;2020;47192.68;497822;28243
Сахалинская область;2020;230493.935;4032622;189259
Еврейская автономная область;2020;16372.652;360985;12169
Чукотский автономный округ;2020;31475.664;248492;22633
Центральный федеральный округ;2021;7871086.899;137480793;8725273
Белгородская область;2021;165671.672;3061945;164840
Брянская область;2021;81337.259;1899020;91059
Владимирская область;2021;103846.331;2131382;108925
Воронежская область;2021;285891.629;4196569;224341
Ивановская область;2021;44981.231;1220062;43130
Калужская область;2021;128508.077;2577442;125342
Костромская область;2021;42742.559;978157;35754
Курская область;2021;193351.808;1832522;131156
Липецкая область;2021;179400;2446218;171542
Московская область;2021;1144659.889;29955255;2091154
Орловская область;2021;60612.018;1164682;53258
Рязанская область;2021;73886.424;2411346;97542
Смоленская область;2021;70327.196;1627394;77699
Тамбовская область;2021;79396.717;1659969;76284
Тверская область;2021;84293.233;2904486;76510
Тульская область;2021;182296.59;2809095;139549
Ярославская область;2021;109966.586;2883943;124492
г. Москва;2021;4839917.68;71721306;4892696
Северо-Западный федеральный округ;2021;2297777.935;50239790;2869181
Республика Карелия;2021;70637.771;1234335;54148
Республика Коми;2021;119825.675;4669354;134606
Архангельская область;2021;178958.278;3671192;205295
в том числе: ;2021;0;0;0
Ненецкий автономный округ;2021;72772.594;1108025;75712
Архангельская область без автономного округа;2021;106185.684;2563167;129583
Вологодская область;2021;207271.049;3356246;155656
Калининградская область;2021;83756.616;2310502;184417
Ленинградская область;2021;442841.494;6531334;493814
Мурманская область;2021;240976.925;3113495;234908
Новгородская область;2021;43334.178;1456435;48501
Псковская область;2021;43021.009;867682;55511
г. Санкт-Петербург;2021;867154.94;23029215;1302325
Южный             федеральный округ;2021;1500988.833;33653474;1586301
Республика Адыгея;2021;33374.05;526986;31014
Республика Калмыкия;2021;16327.453;351743;19281
Республика Крым;2021;164010.776;3797690;341261
Краснодарский край;2021;542996.616;13970321;537931
Астраханская область;2021;125682.25;2211405;69924
Волгоградская область;2021;185605.159;4346720;175508
Ростовская область;2021;392753.556;7460101;387695
г. Севастополь;2021;40238.973;988508;23687
Северо-Кавказский        федеральный округ;2021;723945.692;7850621;432752
Республика Дагестан;2021;251368.073;1679049;95357
Республика Ингушетия;2021;20435.455;217247;17070
Кабардино-Балкарская Республика;2021;51063.038;571048;34688
Карачаево-Черкесская Республика;2021;28082.525;452803;19185
Республика Северная Осетия - Алания;2021;34553.574;409405;23912
Чеченская Республика;2021;84279.176;883885;30237
Ставропольский край;2021;254163.851;3637184;212303
Приволжский федеральный округ;2021;3075381.317;55731429;2968780
Республика Башкортостан;2021;419336.844;7139522;445821
Республика Марий Эл;2021;35546.235;1068946;35237
Республика Мордовия;2021;49690.169;1178599;40339
Республика Татарстан;2021;683304.811;9783694;576727
Удмуртская Республика;2021;117156.297;2687080;118343
Чувашская Республика;2021;61325.495;1620434;59106
Пермский край;2021;307824.421;6840513;394708
Кировская область;2021;75540.38;1668757;73420
Нижегородская область ;2021;385625.148;6210952;358049
Оренбургская область;2021;198131.403;3692404;170373
Пензенская область;2021;96202.209;2151667;88155
Самарская область;2021;364150.874;6504724;343542
Саратовская область;2021;173053.652;3816647;199662
Ульяновская область;2021;108493.379;1367490;65298
Уральский         федеральный округ;2021;3190681.51;58997934;3187821
Курганская область;2021;46884.416;1258785;44159
Свердловская область ;2021;412800.5;11210093;387068
Тюменская область;2021;2413220.023;40258564;2302130
в том числе:;2021;0;0;0
Ханты-Мансийский автономный округ - Югра;2021;1061071.457;17901331;975727
Ямало-Ненецкий автономный округ;2021;1139302.725;17675551;1133286
Тюменская область  без автономных округов;2021;212845.841;4681682;193117
Челябинская область;2021;317776.571;6270492;454464
Сибирский        федеральный округ;2021;2241200.987;30666202;1912231
Республика Алтай;2021;15233.336;229499;11282
Республика Тыва;2021;14751.466;234092;15387
Республика Хакасия;2021;47378.21;913028;38699
Алтайский край;2021;124423.678;2461442;111669
Красноярский край;2021;589107.152;7145601;528896
Иркутская область;2021;527470.813;5132859;248416
Кемеровская область;2021;321598.426;4531863;309363
Новосибирская область ;2021;297874.204;5348230;351003
Омская область;2021;188689.878;2289559;204048
Томская область;2021;114673.824;2380029;93468
Дальневосточный федеральный округ;2021;1940894.386;25623158;1468909
Республика Бурятия;2021;72324.64;1287146;53810
Республика Саха (Якутия);2021;387961.963;4653374;366056
Забайкальский край;2021;161548.307;1745899;105666
Камчатский край;2021;73215.152;1032481;63911
Приморский край;2021;246541.379;5262126;201470
Хабаровский край ;2021;243849.375;3645646;258383
Амурская область;2021;382062.998;2387967;174610
Магаданская область;2021;68555.466;558471;53419
Сахалинская область;2021;241022.478;4370008;151987
Еврейская автономная область;2021;16158.649;383177;10124
Чукотский автономный округ;2021;47653.979;296863;29473
