Субъект РФ;Год;Численность пенсионеров (тыс. чел);Среднедушевые денежные доходы населения (в месяц, руб.);Среднемесячная номинальная заработная плата работников организаций (руб.);Средний размер назначенных пенсий
Ярославская область;2018;410;27072;33474;13485
г. Москва;2018;3049;69926;83801;14410
Северо-Западный федеральный округ;2018;4250;36255;49824;14922
Республика Карелия;2018;238;29150;39402;16386
Республика Коми;2018;297;34157;50413;16945
Архангельская область;2018;427;33866;48307;16709
в том числе: ;2018;0;0;0;0
Ненецкий автономный округ;2018;14;78549;82786;20589
Архангельская область без автономного округа;2018;413;32091;45427;16578
Вологодская область;2018;373;27012;35497;13755
Калининградская область;2018;273;27549;33385;12681
Ленинградская область;2018;497;31341;43631;13717
Мурманская область;2018;247;41588;58045;18123
Новгородская область;2018;205;25616;31462;13104
Псковская область;2018;211;23880;26871;12616
г. Санкт-Петербург;2018;1482;45137;60421;14924
Южный             федеральный округ;2018;4873;28650;31998;12224
Республика Адыгея;2018;127;27590;27469;11696
Республика Калмыкия;2018;78;17082;26049;11337
Республика Крым;2018;582;21526;29640;12099
Краснодарский край;2018;1625;34861;33846;12267
Астраханская область;2018;264;23770;33630;11832
Волгоградская область;2018;769;22813;30894;12566
Ростовская область;2018;1314;29097;31448;12122
г. Севастополь;2018;114;28834;31814;13232
Северо-Кавказский        федеральный округ;2018;2464;23263;27064;11257
Республика Дагестан;2018;670;25757;25155;10298
Республика Ингушетия;2018;106;16163;25367;11123
Кабардино-Балкарская Республика;2018;200;20806;25776;10499
Карачаево-Черкесская Республика;2018;124;18099;25430;11310
Республика Северная Осетия - Алания;2018;207;23332;26958;11868
Чеченская Республика;2018;410;23200;26177;11631
Ставропольский край;2018;747;23408;29065;11957
Приволжский федеральный округ;2018;9110;26697;31990;12726
Республика Башкортостан;2018;1177;28972;33753;12767
Республика Марий Эл;2018;211;19811;28143;11873
Республика Мордовия;2018;257;18651;26712;12030
Республика Татарстан;2018;1138;33731;35172;12873
Удмуртская Республика;2018;456;23827;31808;13024
Чувашская Республика;2018;370;18462;27036;12217
Пермский край;2018;799;28737;35802;13250
Кировская область;2018;441;22310;27932;13036
Нижегородская область ;2018;1050;31416;32949;13140
Оренбургская область;2018;618;23387;30371;12251
Пензенская область;2018;444;21821;28968;12218
Самарская область;2018;982;28182;33754;13087
Саратовская область;2018;750;21424;26823;12157
Ульяновская область;2018;417;22797;28353;12238
Уральский         федеральный округ;2018;3669;35095;47807;14437
Курганская область;2018;297;20335;28159;12305
Свердловская область ;2018;1348;36737;38052;13834
Тюменская область;2018;966;46584;68664;17294
в том числе:;2018;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2018;431;50831;70896;19887
Ямало-Ненецкий автономный округ;2018;140;79543;97204;19933
Тюменская область  без автономных округов;2018;395;30117;44913;13515
Челябинская область;2018;1058;24392;35219;13196
Сибирский        федеральный округ;2018;5809;25665;37807;13207
Республика Алтай;2018;60;19503;30953;11825
Республика Тыва;2018;83;15610;35779;12615
Республика Хакасия;2018;156;21571;37874;13100
Алтайский край;2018;762;22882;25519;12252
Красноярский край;2018;848;30023;45635;14226
Иркутская область;2018;760;24500;42647;13745
Кемеровская область;2018;869;23175;38023;13337
Новосибирская область ;2018;823;28871;35686;13086
Омская область;2018;594;25434;32613;12580
Томская область;2018;300;27296;41901;14552
Дальневосточный федеральный округ;2018;1804;35518;51667;15618
Республика Бурятия;2018;265;24105;36047;12441
Республика Саха (Якутия);2018;274;42891;68871;18005
Забайкальский край;2018;289;23992;40740;12380
Камчатский край;2018;93;48765;73896;20370
Приморский край;2018;545;34662;42199;13593
Хабаровский край ;2018;386;39084;47153;15446
Амурская область;2018;234;30937;42315;13472
Магаданская область;2018;45;59783;85631;20666
Сахалинская область;2018;165;53784;77499;17787
Еврейская автономная область;2018;47;24696;39242;12967
Чукотский автономный округ;2018;15;78812;98864;23486
Центральный федеральный округ;2019;11620;47584;60771;14249
Белгородская область;2019;516;32398;34615;13842
Брянская область;2019;419;28422;29853;13207
Владимирская область;2019;462;25391;33076;13865
Воронежская область;2019;754;32022;33690;13137
Ивановская область;2019;327;25794;27553;13438
Калужская область;2019;319;31417;41442;14034
Костромская область;2019;213;25318;31421;13371
Курская область;2019;397;29149;32709;12931
Липецкая область;2019;390;32535;34312;13425
Московская область;2019;2029;47513;55555;15124
Орловская область;2019;271;26184;29683;13643
Рязанская область;2019;386;26886;34488;13489
Смоленская область;2019;307;27485;31269;13294
Тамбовская область;2019;354;28154;28697;12633
Тверская область;2019;426;27212;33524;13701
Тульская область;2019;537;28561;38151;13923
Ярославская область;2019;411;28667;36016;14301
г. Москва;2019;3102;75891;94294;15204
Северо-Западный федеральный округ;2019;4286;38079;54119;15703
Республика Карелия;2019;238;30854;42964;17325
Республика Коми;2019;297;35428;53416;17848
Архангельская область;2019;425;35724;52434;17663
в том числе: ;2019;0;0;0;0
Ненецкий автономный округ;2019;14;81041;88027;21660
Архангельская область без автономного округа;2019;411;33907;49435;17526
Вологодская область;2019;375;28418;39116;14587
Калининградская область;2019;278;29098;35637;13397
Ленинградская область;2019;502;32371;46387;14468
Мурманская область;2019;246;44261;63715;19045
Новгородская область;2019;205;26193;32174;13884
Псковская область;2019;212;25525;29441;13359
г. Санкт-Петербург;2019;1508;47472;65872;15616
Южный             федеральный округ;2019;4911;30204;34460;12940
Республика Адыгея;2019;128;29139;30192;12393
Республика Калмыкия;2019;79;18508;28617;11971
Республика Крым;2019;587;22366;32748;12661
Краснодарский край;2019;1651;36604;36133;13037
Астраханская область;2019;266;24971;36093;12517
Волгоградская область;2019;771;24160;33371;13316
Ростовская область;2019;1314;30866;33757;12845
г. Севастополь;2019;115;30261;34621;13788
Северо-Кавказский        федеральный округ;2019;2497;24406;29135;11927
Республика Дагестан;2019;682;27410;26835;10903
Республика Ингушетия;2019;109;16614;27410;12005
Кабардино-Балкарская Республика;2019;204;21475;27466;11086
Карачаево-Черкесская Республика;2019;126;18977;26955;11898
Республика Северная Осетия - Алания;2019;207;24522;28751;12515
Чеченская Республика;2019;417;24153;27757;12380
Ставропольский край;2019;752;24393;31836;12665
Приволжский федеральный округ;2019;9183;28292;34592;13523
Республика Башкортостан;2019;1195;30603;36465;13585
Республика Марий Эл;2019;214;20877;30152;12617
Республика Мордовия;2019;258;19748;28826;12816
Республика Татарстан;2019;1152;35733;37418;13727
Удмуртская Республика;2019;462;25066;34052;13840
Чувашская Республика;2019;374;20162;29671;13038
Пермский край;2019;803;30618;39210;14070
Кировская область;2019;441;23684;30213;13837
Нижегородская область ;2019;1054;33874;35212;13928
Оренбургская область;2019;623;24497;32883;13020
Пензенская область;2019;445;22990;30765;12980
Самарская область;2019;990;29422;36431;13871
Саратовская область;2019;753;22760;30717;12896
Ульяновская область;2019;419;23710;30677;13003
Уральский         федеральный округ;2019;3712;37038;51092;15300
Курганская область;2019;298;21304;30632;13076
Свердловская область ;2019;1357;39095;41110;14648
Тюменская область;2019;989;48933;72747;18302
в том числе:;2019;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2019;442;53493;75087;20850
Ямало-Ненецкий автономный округ;2019;143;84273;101012;20844
Тюменская область  без автономных округов;2019;404;31394;48613;14616
Челябинская область;2019;1068;25432;37433;13968
Сибирский        федеральный округ;2019;5293;27217;41310;14058
Республика Алтай;2019;61;20256;33387;12457
Республика Тыва;2019;84;16618;39673;13450
Республика Хакасия;2019;157;22691;40548;13850
Алтайский край;2019;766;23993;27962;12984
Красноярский край;2019;856;31755;49932;15062
Иркутская область;2019;762;26355;46387;14531
Кемеровская область;2019;867;24890;41770;14090
Новосибирская область ;2019;835;30566;39076;13841
Омская область;2019;602;26970;35368;13300
Томская область;2019;303;28381;45526;15357
Дальневосточный федеральный округ;2019;2363;37962;56437;15660
Республика Бурятия;2019;268;25302;39115;13185
Республика Саха (Якутия);2019;276;45528;73402;18901
Забайкальский край;2019;288;25750;43896;13119
Камчатский край;2019;93;52674;80448;21229
Приморский край;2019;546;36884;46867;14351
Хабаровский край ;2019;385;41460;50213;16273
Амурская область;2019;235;33304;47234;14230
Магаданская область;2019;45;65367;94856;21495
Сахалинская область;2019;165;59016;87418;18655
Еврейская автономная область;2019;47;26602;42400;13729
Чукотский автономный округ;2019;15;83385;107107;24291
Центральный федеральный округ;2020;11543;48566;65319;15065
Белгородская область;2020;512;32884;37442;14696.5
Брянская область;2020;416;28636;31946;13929.8
Владимирская область;2020;456;25955;35240;14702.7
Воронежская область;2020;748;32102;36317;13906.3
Ивановская область;2020;322;26284;29083;14222.5
Калужская область;2020;317;32559;43994;14829.6
Костромская область;2020;210;25786;32220;14163.9
Курская область;2020;394;29791;35805;13699
Липецкая область;2020;386;32534;36790;14244.8
Московская область;2020;2025;47301;58066;15951.5
Орловская область;2020;268;26990;31862;14424.2
Рязанская область;2020;382;27328;36459;14277.9
Смоленская область;2020;303;28256;33139;14054.5
Тамбовская область;2020;349;27892;31063;13390.4
Тверская область;2020;419;27692;36077;14519.9
Тульская область;2020;530;29396;40889;14714.6
Ярославская область;2020;406;29527;37820;15169.9
г. Москва;2020;3100;78106;100070;16039.4
Северо-Западный федеральный округ;2020;4258;39486;57162;16581
Республика Карелия;2020;236;32596;46501;18325
Республика Коми;2020;294;36687;57156;18834.7
Архангельская область;2020;421;36785;55891;18687
в том числе: ;2020;0;0;0;0
Ненецкий автономный округ;2020;14;84171;92237;22713.8
Архангельская область без автономного округа;2020;407;34857;52779;18548.5
Вологодская область;2020;372;29682;42775;15466.9
Калининградская область;2020;278;29621;36647;14189.7
Ленинградская область;2020;497;33235;48286;15333.4
Мурманская область;2020;243;46621;69135;20046
Новгородская область;2020;201;26431;34169;14721
Псковская область;2020;208;26444;31496;14144.3
г. Санкт-Петербург;2020;1508;49375;68667;16437.5
Южный             федеральный округ;2020;4868;30910;36620;13703
Республика Адыгея;2020;127;30320;32161;13108.2
Республика Калмыкия;2020;78;19816;32013;12610.6
Республика Крым;2020;582;23033;34181;13309
Краснодарский край;2020;1651;37352;38499;13835.4
Астраханская область;2020;263;25206;38885;13251.3
Волгоградская область;2020;760;24995;35962;14110.7
Ростовская область;2020;1292;31519;35622;13619
г. Севастополь;2020;115;29970;36300;14483.7
Северо-Кавказский        федеральный округ;2020;2483;24525;31799;12536
Республика Дагестан;2020;677;27666;31342;11396.4
Республика Ингушетия;2020;112;16877;29648;12687.3
Кабардино-Балкарская Республика;2020;203;22016;29899;11644.5
Карачаево-Черкесская Республика;2020;125;19101;29865;12538.4
Республика Северная Осетия - Алания;2020;203;23963;30479;13175.6
Чеченская Республика;2020;419;24625;29771;12951.9
Ставропольский край;2020;744;24187;33877;13385.4
Приволжский федеральный округ;2020;9114;28625;36975;14341
Республика Башкортостан;2020;1190;30409;38738;14418.7
Республика Марий Эл;2020;212;21271;32278;13370.2
Республика Мордовия;2020;256;20635;31105;13593.1
Республика Татарстан;2020;1147;35694;39761;14571.9
Удмуртская Республика;2020;460;25460;36380;14673.5
Чувашская Республика;2020;371;21164;31844;13843.7
Пермский край;2020;796;30237;41958;14926.4
Кировская область;2020;436;24292;32692;14701.6
Нижегородская область ;2020;1044;33814;37601;14754.1
Оренбургская область;2020;617;24731;35075;13796.6
Пензенская область;2020;441;24135;32766;13757.6
Самарская область;2020;983;29973;38748;14695.6
Саратовская область;2020;744;24095;33545;13673.8
Ульяновская область;2020;417;24596;32504;13758.3
Уральский         федеральный округ;2020;3701;37351;54603;16087
Курганская область;2020;294;21865;33182;13873.2
Свердловская область ;2020;1348;37447;43256;15484.9
Тюменская область;2020;999;50440;78619;18926
в том числе:;2020;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2020;449;54588;79822;21908.5
Ямало-Ненецкий автономный округ;2020;144;90130;111216;21876
Тюменская область  без автономных округов;2020;406;31851;51501;14578.2
Челябинская область;2020;1060;26647;39349;14787.8
Сибирский        федеральный округ;2020;5246;27999;44226;14857
Республика Алтай;2020;61;21683;36269;13070.6
Республика Тыва;2020;83;18975;44104;14040.2
Республика Хакасия;2020;155;23843;43800;14641
Алтайский край;2020;758;23917;30072;13728.5
Красноярский край;2020;850;32872;54426;15915.8
Иркутская область;2020;754;27577;49885;15345.7
Кемеровская область;2020;854;25441;43429;14901.3
Новосибирская область ;2020;832;31606;41534;14645.9
Омская область;2020;598;27377;37828;14065.2
Томская область;2020;301;28871;48730;16215.7
Дальневосточный федеральный округ;2020;2333;39086;60358;16509
Республика Бурятия;2020;264;26222;41800;13930
Республика Саха (Якутия);2020;276;46344;77178;19821.1
Забайкальский край;2020;283;27048;47172;13878
Камчатский край;2020;92;55381;85623;22242.1
Приморский край;2020;539;37349;50105;15159.5
Хабаровский край ;2020;380;41751;53113;17158.9
Амурская область;2020;231;35508;52430;15038.2
Магаданская область;2020;44;70982;102843;22424.6
Сахалинская область;2020;163;60797;92518;19609
Еврейская автономная область;2020;46;28126;46237;14520.6
Чукотский автономный округ;2020;15;89548;120641;25292.2
Центральный федеральный округ;2021;11393;54727;73548;15911
Белгородская область;2021;506;35612;41775;15549
Брянская область;2021;411;31608;35582;14713
Владимирская область;2021;447;28489;39550;15555
Воронежская область;2021;737;35100;40830;14670
Ивановская область;2021;315;28680;32403;15024
Калужская область;2021;312;35028;48837;15642
Костромская область;2021;207;28560;35967;14998
Курская область;2021;387;32715;40292;14488
Липецкая область;2021;380;35124;40188;15060
Московская область;2021;2009;53793;64041;16805
Орловская область;2021;264;29846;35754;15240
Рязанская область;2021;374;30495;40631;15098
Смоленская область;2021;297;30731;36529;14839
Тамбовская область;2021;343;30241;34438;14137
Тверская область;2021;411;30528;40286;15353
Тульская область;2021;522;32131;44726;15558
Ярославская область;2021;400;33124;41209;16064
г. Москва;2021;3071;88831;112768;16935
Северо-Западный федеральный округ;2021;4210;44531;63520;17485
Республика Карелия;2021;233;35173;49553;19336
Республика Коми;2021;289;38880;60769;19879
Архангельская область;2021;415;39739;60885;19760
в том числе: ;2021;0;0;0;0
Ненецкий автономный округ;2021;14;86431;95705;23854
Архангельская область без автономного округа;2021;401;37810;57979;19616
Вологодская область;2021;367;31851;45463;16377
Калининградская область;2021;277;32010;41563;14974
Ленинградская область;2021;492;36847;52749;16210
Мурманская область;2021;239;51183;76565;21097
Новгородская область;2021;198;29229;39206;15583
Псковская область;2021;204;29332;35369;14961
г. Санкт-Петербург;2021;1496;57745;76259;17279
Южный             федеральный округ;2021;4803;34974;40649;14468
Республика Адыгея;2021;125;34901;36001;13838
Республика Калмыкия;2021;77;21319;33030;13269
Республика Крым;2021;575;26357;38158;13981
Краснодарский край;2021;1644;43217;43510;14627
Астраханская область;2021;259;26833;42096;13970
Волгоградская область;2021;743;27677;39031;14902
Ростовская область;2021;1265;35041;39291;14397
г. Севастополь;2021;115;33013;40145;15203
Северо-Кавказский        федеральный округ;2021;2470;26774;34032;13144
Республика Дагестан;2021;676;30260;31859;11923
Республика Ингушетия;2021;115;18139;31362;13282
Кабардино-Балкарская Республика;2021;201;25929;31712;12216
Карачаево-Черкесская Республика;2021;124;20473;32846;13138
Республика Северная Осетия - Алания;2021;200;25885;32999;13841
Чеченская Республика;2021;420;26397;31291;13485
Ставропольский край;2021;734;26190;37387;14119
Приволжский федеральный округ;2021;8971;31306;41129;15166
Республика Башкортостан;2021;1175;32621;42848;15256
Республика Марий Эл;2021;210;23185;35497;14134
Республика Мордовия;2021;250;22906;34499;14385
Республика Татарстан;2021;1133;39679;45800;15414
Удмуртская Республика;2021;454;27650;39791;15551
Чувашская Республика;2021;366;23619;35799;14639
Пермский край;2021;783;32747;46267;15806
Кировская область;2021;429;26649;36143;15572
Нижегородская область ;2021;1026;37524;41369;15589
Оренбургская область;2021;608;26518;38357;14564
Пензенская область;2021;433;26415;36031;14520
Самарская область;2021;964;32663;42771;15553
Саратовская область;2021;730;26228;37408;14440
Ульяновская область;2021;410;26849;36126;14534
Уральский         федеральный округ;2021;3667;40219;59804;17096
Курганская область;2021;287;23747;36188;14688
Свердловская область ;2021;1333;40275;48590;16366
Тюменская область;2021;1004;53381;83643;20292
в том числе:;2021;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2021;452;57012;85447;23055
Ямало-Ненецкий автономный округ;2021;144;96814;116376;22966
Тюменская область  без автономных округов;2021;408;33983;55270;16283
Челябинская область;2021;1043;29498;43781;15618
Сибирский        федеральный округ;2021;5169;30770;48883;15692
Республика Алтай;2021;60;23798;39806;13837
Республика Тыва;2021;83;20652;46084;14781
Республика Хакасия;2021;152;26068;47817;15497
Алтайский край;2021;743;26010;33872;14493
Красноярский край;2021;840;36090;60608;16815
Иркутская область;2021;743;30346;55209;16217
Кемеровская область;2021;838;28048;48313;15760
Новосибирская область ;2021;823;35261;46167;15455
Омская область;2021;588;29972;41152;14824
Томская область;2021;299;30976;50955;17107
Дальневосточный федеральный округ;2021;2294;42455;66374;17416
Республика Бурятия;2021;262;28314;45610;14703
Республика Саха (Якутия);2021;275;50369;84472;20793
Забайкальский край;2021;277;29827;52216;14679
Камчатский край;2021;90;60794;93880;23317
Приморский край;2021;528;40843;55615;16034
Хабаровский край ;2021;371;44108;58786;18101
Амурская область;2021;226;39626;59098;15902
Магаданская область;2021;43;80979;112852;23455
Сахалинская область;2021;162;63854;94285;20660
Еврейская автономная область;2021;45;30297;50075;15345
Чукотский автономный округ;2021;15;99905;130738;26381
