Субъект РФ;Год;Численность пенсионеров (тыс. чел);Среднедушевые денежные доходы населения (в месяц, руб.);Среднемесячная номинальная заработная плата работников организаций (руб.);Средний размер назначенных пенсий
Дальневосточный федеральный округ;2002;1610;4391;5979.1;1246
Республика Бурятия;2002;231;3141;3941.1;1093
Республика Саха (Якутия);2002;206;6348;8171.8;1478
Забайкальский край;2002;272;2993;4246.2;1083
Камчатский край;2002;81;5916;8678.6;1568
Приморский край;2002;497;3122;4514.8;1140
Хабаровский край ;2002;359;4689;5612.2;1215
Амурская область;2002;213;2875;4692.2;1121
Магаданская область;2002;46;6748;7444.3;1436
Сахалинская область;2002;151;5523;6959.3;1314
Еврейская автономная область;2002;44;3081;4203.9;1108
Чукотский автономный округ;2002;13;11313;13501.7;1540
Центральный федеральный округ;2003;10700;7189;5872.8;1481
Белгородская область;2003;457;3357;4468.6;1384
Брянская область;2003;429;3136;3316;1408
Владимирская область;2003;465;2837;4024.6;1495
Воронежская область;2003;754;3381;3549.1;1384
Ивановская область;2003;348;2292;3254.6;1481
Калужская область;2003;301;3335;4489.3;1480
Костромская область;2003;219;3094;3869.3;1446
Курская область;2003;394;3373;3973.7;1313
Липецкая область;2003;367;3557;4394.8;1389
Московская область;2003;1771;4409;6071.2;1563
Орловская область;2003;264;3231;3563.5;1443
Рязанская область;2003;406;3306;4028.1;1415
Смоленская область;2003;315;3712;4173.3;1431
Тамбовская область;2003;382;3412;3303.6;1350
Тверская область;2003;457;3016;4267.9;1475
Тульская область;2003;582;3378;4205.5;1467
Ярославская область;2003;413;4273;4952.1;1504
г. Москва;2003;2376;16711;8611.6;1567
Северо-Западный федеральный округ;2003;3848;5398;6143.7;1605
Республика Карелия;2003;219;4957;5692;1669
Республика Коми;2003;271;7499;7884.2;1699
Архангельская область;2003;404;4839;6242.6;1680
в том числе: ;2003;0;0;0;0
Ненецкий автономный округ;2003;10;14201;15918.3;1890
Архангельская область без автономного округа;2003;394;0;0;0
Вологодская область;2003;352;4411;5497.5;1542
Калининградская область;2003;220;3811;4743.3;1401
Ленинградская область;2003;456;3040;5466.1;1504
Мурманская область;2003;234;7162;8645.5;1791
Новгородская область;2003;213;3715;4393.4;1458
Псковская область;2003;233;3557;3762;1432
г. Санкт-Петербург;2003;1246;6823;6467.5;1664
Южный             федеральный округ;2003;3789;3146;3946.6;1395
Республика Адыгея;2003;126;2550;3317.5;1349
Республика Калмыкия;2003;68;2094;2960.8;1275
Республика Крым;2003;0;0;0;0
Краснодарский край;2003;1355;3659;4033.1;1397
Астраханская область;2003;236;3839;4431.6;1351
Волгоградская область;2003;725;3803;3989.3;1425
Ростовская область;2003;1279;4019;3806.1;1394
г. Севастополь;2003;0;0;0;0
Северо-Кавказский        федеральный округ;2003;1900;0;3108;1273
Республика Дагестан;2003;457;2119;2409.2;1146
Республика Ингушетия;2003;59;1438;3576;1147
Кабардино-Балкарская Республика;2003;178;2585;2877.1;1280
Карачаево-Черкесская Республика;2003;116;2596;3080.9;1304
Республика Северная Осетия - Алания;2003;197;2595;2792.6;1362
Чеченская Республика;2003;200;0;3807.8;1126
Ставропольский край;2003;693;3065;3512.2;1378
Приволжский федеральный округ;2003;8359;3917;4235.3;1406
Республика Башкортостан;2003;1026;4152;4449.4;1347
Республика Марий Эл;2003;189;2188;3105.8;1322
Республика Мордовия;2003;262;2716;3251.6;1345
Республика Татарстан;2003;966;4273;4530;1373
Удмуртская Республика;2003;385;3097;4349.9;1437
Чувашская Республика;2003;346;2753;3215;1316
Пермский край;2003;747;5265;5283.5;1450
Кировская область;2003;428;3101;3640.9;1474
Нижегородская область ;2003;1039;3999;4205.9;1481
Оренбургская область;2003;579;3144;3898.1;1372
Пензенская область;2003;427;2761;3474.4;1396
Самарская область;2003;872;5778;5138.9;1450
Саратовская область;2003;713;3340;3456.2;1399
Ульяновская область;2003;380;3060;3621.4;1392
Уральский         федеральный округ;2003;3060;6117;8085.7;1507
Курганская область;2003;285;2874;3664.6;1386
Свердловская область ;2003;1225;5286;5607;1498
Тюменская область;2003;610;10569;14584.1;1642
в том числе:;2003;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2003;218;12905;17209.3;1914
Ямало-Ненецкий автономный округ;2003;74;16027;20027.2;1906
Тюменская область  без автономных округов;2003;318;0;0;0
Челябинская область;2003;940;4001;4838.5;1467
Сибирский        федеральный округ;2003;5172;4357;5325.3;1454.8
Республика Алтай;2003;52;2881;3816.7;1292
Республика Тыва;2003;79;2880;4698.1;1233
Республика Хакасия;2003;138;3770;5054.1;1416.9
Алтайский край;2003;692;2901;3147.5;1403
Красноярский край;2003;749;5518;7366.8;1532
Иркутская область;2003;673;4557;6137.6;1487
Кемеровская область;2003;814;4915;5263.6;1470
Новосибирская область ;2003;694;3892;4623.5;1468
Омская область;2003;531;4519;4426.9;1421
Томская область;2003;250;5415;6685.4;1547
Дальневосточный федеральный округ;2003;1604;5800;7554.7;1615
Республика Бурятия;2003;230;3857;5011.2;1393
Республика Саха (Якутия);2003;199;8235;9697.4;1811
Забайкальский край;2003;270;4018;5442.2;1363
Камчатский край;2003;82;7143;10319.6;2030
Приморский край;2003;496;4249;5793.1;1471
Хабаровский край ;2003;362;6229;7368.5;1608
Амурская область;2003;211;3867;5930.2;1435
Магаданская область;2003;46;8191;9386;2013
Сахалинская область;2003;152;7685;9331;1763
Еврейская автономная область;2003;44;4077;5409.8;1424
Чукотский автономный округ;2003;12;13603;17270.7;2134
Центральный федеральный округ;2004;10590;8900;7276.3;1767
Белгородская область;2004;456;4069;5284.4;1647
Брянская область;2004;425;3725;4196.1;1674
Владимирская область;2004;460;3363;4750.9;1782
Воронежская область;2004;748;4104;4340.6;1652
Ивановская область;2004;342;2855;4078.9;1758
Калужская область;2004;298;4163;5642.8;1763
Костромская область;2004;215;3837;4723.2;1721
Курская область;2004;389;4241;4889.1;1569
Липецкая область;2004;363;4406;5485.3;1659
Московская область;2004;1762;5753;7399.2;1864
Орловская область;2004;261;3902;4392.9;1725
Рязанская область;2004;399;3629;4964.8;1686
Смоленская область;2004;310;4386;5012;1703
Тамбовская область;2004;376;4035;4081.4;1604
Тверская область;2004;446;3940;5385.9;1761
Тульская область;2004;573;3972;5172.3;1750
Ярославская область;2004;406;5119;6164.1;1796
г. Москва;2004;2361;20443;10634;1874
Северо-Западный федеральный округ;2004;3822;6914;7518.1;1913
Республика Карелия;2004;216;5890;6935.1;2002
Республика Коми;2004;270;9392;9481.5;2044
Архангельская область;2004;405;6137;7887.5;2016
в том числе: ;2004;0;0;0;0
Ненецкий автономный округ;2004;10;20125;19024.7;2318
Архангельская область без автономного округа;2004;395;0;0;0
Вологодская область;2004;348;5245;6970.6;1838
Калининградская область;2004;220;4704;5559.6;1675
Ленинградская область;2004;451;4399;6673.2;1789
Мурманская область;2004;233;8476;10176.6;2145
Новгородская область;2004;211;4360;5502.8;1734
Псковская область;2004;227;4302;4542.6;1705
г. Санкт-Петербург;2004;1241;9054;7931.1;1969
Южный             федеральный округ;2004;3753;3954;4968.1;1668
Республика Адыгея;2004;124;3085;4266.3;1607
Республика Калмыкия;2004;67;2293;3605.7;1548
Республика Крым;2004;0;0;0;0
Краснодарский край;2004;1347;4367;5155.3;1667
Астраханская область;2004;234;4530;5495.4;1617
Волгоградская область;2004;721;4648;4885.1;1709
Ростовская область;2004;1260;5022;4797.5;1667
г. Севастополь;2004;0;0;0;0
Северо-Кавказский        федеральный округ;2004;1909;0;3844.5;1520
Республика Дагестан;2004;465;3282;3000.1;1371
Республика Ингушетия;2004;56;1900;4002.8;1394
Кабардино-Балкарская Республика;2004;177;3212;3515.6;1520
Карачаево-Черкесская Республика;2004;114;3256;3696.2;1559
Республика Северная Осетия - Алания;2004;199;4078;3457.2;1628
Чеченская Республика;2004;212;0;5021;1339
Ставропольский край;2004;686;3861;4497.4;1650
Приволжский федеральный округ;2004;8279;4787;5149.9;1679
Республика Башкортостан;2004;1018;5154;5389.4;1617
Республика Марий Эл;2004;187;2563;3783.7;1575
Республика Мордовия;2004;260;3253;4013.6;1597
Республика Татарстан;2004;965;5355;5452.8;1643
Удмуртская Республика;2004;383;3682;5130.5;1715
Чувашская Республика;2004;340;3203;4048.2;1572
Пермский край;2004;738;6402;6211.8;1732
Кировская область;2004;419;3787;4540.6;1756
Нижегородская область ;2004;1024;4791;5255.7;1763
Оренбургская область;2004;572;3910;4734.8;1628
Пензенская область;2004;425;3406;3911.1;1662
Самарская область;2004;865;7137;6275.9;1736
Саратовская область;2004;703;4006;4301.4;1669
Ульяновская область;2004;380;3660;4372.3;1659
Уральский         федеральный округ;2004;3045;7444;9692.5;1809
Курганская область;2004;281;3884;4538.4;1655
Свердловская область ;2004;1214;6780;6928.4;1793
Тюменская область;2004;619;12242;16956.5;1992
в том числе:;2004;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2004;229;15022;19660;2315
Ямало-Ненецкий автономный округ;2004;76;19107;23890.2;2343
Тюменская область  без автономных округов;2004;314;0;0;0
Челябинская область;2004;931;4829;5959.6;1754
Сибирский        федеральный округ;2004;5148;5289;6507.8;1740.9
Республика Алтай;2004;51;3439;4549.9;1535
Республика Тыва;2004;80;3414;5469.9;1462
Республика Хакасия;2004;137;4458;6160.8;1691.5
Алтайский край;2004;687;3521;3955.3;1683.4
Красноярский край;2004;748;6445;8673.7;1832
Иркутская область;2004;674;5450;7329.3;1778
Кемеровская область;2004;805;6196;6706.6;1762
Новосибирская область ;2004;691;4964;5833.4;1754
Омская область;2004;528;5451;5482.5;1702
Томская область;2004;250;6502;7972.2;1860
Дальневосточный федеральный округ;2004;1618;7089;9115.2;1941
Республика Бурятия;2004;228;4667;6162.7;1659
Республика Саха (Якутия);2004;207;9615;11315.3;2171
Забайкальский край;2004;269;4808;6671.6;1626
Камчатский край;2004;83;8492;12297.7;2457
Приморский край;2004;500;5419;7033.4;1767
Хабаровский край ;2004;361;7689;8948.4;1935
Амурская область;2004;212;4749;7353.7;1720
Магаданская область;2004;45;9513;11174.6;2444
Сахалинская область;2004;154;9522;11711.1;2112
Еврейская автономная область;2004;44;5033;6513.8;1696
Чукотский автономный округ;2004;12;14817;18618.2;2601
Центральный федеральный округ;2005;10563;10902;9622;2032
Белгородская область;2005;456;5276;6775;1890
Брянская область;2005;422;4788;5235;1909
Владимирская область;2005;456;4107;6067;2039
Воронежская область;2005;743;5398;5382;1911
Ивановская область;2005;337;3480;5144;2007
Калужская область;2005;295;5343;7066;2020
Костромская область;2005;213;4985;5975;1968
Курская область;2005;385;5218;5476;1803
Липецкая область;2005;366;5591;6929;1902
Московская область;2005;1763;7445;9558;2147
Орловская область;2005;262;4857;5431;1972
Рязанская область;2005;395;4775;6150;1924
Смоленская область;2005;308;5483;6191;1943
Тамбовская область;2005;372;5292;5009;1839
Тверская область;2005;439;5606;6486;2014
Тульская область;2005;569;4988;6412;1997
Ярославская область;2005;403;6321;7366;2057
г. Москва;2005;2379;24014;14425;2174
Северо-Западный федеральный округ;2005;3825;8996;9487;2260
Республика Карелия;2005;219;7278;8730;2434
Республика Коми;2005;274;11452;11612;2547
Архангельская область;2005;408;7903;9874;2483
в том числе: ;2005;0;0;0;0
Ненецкий автономный округ;2005;11;21502;23017;3041
Архангельская область без автономного округа;2005;397;0;0;0
Вологодская область;2005;348;6345;8828;2098
Калининградская область;2005;220;6481;6781;2001
Ленинградская область;2005;447;5687;8596;2057
Мурманская область;2005;237;10624;12510;2746
Новгородская область;2005;209;5476;6941;1996
Псковская область;2005;223;4927;5735;1948
г. Санкт-Петербург;2005;1240;12264;10134;2265
Южный             федеральный округ;2005;3759;5049;6204;1908
Республика Адыгея;2005;122;3893;5123;1836
Республика Калмыкия;2005;66;2392;4495;1782
Республика Крым;2005;0;0;0;0
Краснодарский край;2005;1374;5545;6462;1891
Астраханская область;2005;233;5636;6884;1858
Волгоградская область;2005;716;5908;6160;1971
Ростовская область;2005;1248;6360;5945;1912
г. Севастополь;2005;0;0;0;0
Северо-Кавказский        федеральный округ;2005;1921;0;4785;1733
Республика Дагестан;2005;472;4388;3660;1562
Республика Ингушетия;2005;56;2737;5449;1565
Кабардино-Балкарская Республика;2005;174;4190;4653;1730
Карачаево-Черкесская Республика;2005;113;4084;4710;1776
Республика Северная Осетия - Алания;2005;197;4669;4722;1857
Чеченская Республика;2005;224;0;6716;1527
Ставропольский край;2005;685;5117;5416;1891
Приволжский федеральный округ;2005;8259;6229;6473;1925
Республика Башкортостан;2005;1017;6887;6612;1860
Республика Марий Эл;2005;186;3376;4938;1800
Республика Мордовия;2005;258;4103;5061;1827
Республика Татарстан;2005;969;7383;7068;1909
Удмуртская Республика;2005;384;4657;6373;1969
Чувашская Республика;2005;339;3958;5073;1797
Пермский край;2005;739;8273;7749;1989
Кировская область;2005;415;4644;5696;2005
Нижегородская область ;2005;1016;6057;6533;2013
Оренбургская область;2005;572;5122;6164;1867
Пензенская область;2005;423;4355;5207;1899
Самарская область;2005;862;9264;7765;1990
Саратовская область;2005;699;5056;5439;1912
Ульяновская область;2005;380;4576;5344;1894
Уральский         федеральный округ;2005;3061;9581;11680;2124
Курганская область;2005;280;4800;5692;1892
Свердловская область ;2005;1210;9022;8676;2066
Тюменская область;2005;636;14983;19838;2507
в том числе:;2005;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2005;243;18115;22829;3034
Ямало-Ненецкий автономный округ;2005;82;22231;27534;3069
Тюменская область  без автономных округов;2005;311;0;0;0
Челябинская область;2005;935;6554;7463;2008
Сибирский        федеральный округ;2005;5162;6731;8110;2027.5
Республика Алтай;2005;51;4381;5736;1796
Республика Тыва;2005;80;4162;6814;1869
Республика Хакасия;2005;137;5177;7771;2000.2
Алтайский край;2005;688;4640;4914;1947
Красноярский край;2005;756;7790;10502;2166
Иркутская область;2005;681;7119;9125;2089
Кемеровская область;2005;803;7889;8654;2038
Новосибирская область ;2005;691;6639;7264;2010
Омская область;2005;528;6969;7124;1959
Томская область;2005;252;8142;9610;2218
Дальневосточный федеральный округ;2005;1634;8989;11508;2381
Республика Бурятия;2005;229;6027;7651;1908
Республика Саха (Якутия);2005;212;11350;13437;2825
