Субъекты РФ;Год;Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Добыча полезных ископаемых (млн. руб.);Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Обрабатывающие производства (млн. руб.);Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Производство и распределение электроэнергии, газа и воды (млн. руб.);"Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений (млн. руб.)"
Алтайский край;2010;20857;50947;13689;
Красноярский край;2010;4403;168752;31794;
Иркутская область;2010;39001;11385;14713;
Кемеровская область;2010;240571;571329;86045;
Новосибирская область ;2010;68817;272410;77346;
Омская область;2010;377514;309471;80869;
Томская область;2010;16455;229324;59332;
Дальневосточный федеральный округ;2010;4784;409133;33713;
Республика Бурятия;2010;91842;96814;22972;
Республика Саха (Якутия);2010;702239;309172;198707;
Забайкальский край;2010;214206;24515;37946;
Камчатский край;2010;6326;37350;14948;
Приморский край;2010;10656;104562;47025;
Хабаровский край ;2010;25291;93965;39891;
Амурская область;2010;26599;18568;26935;
Магаданская область;2010;29546;2921;8183;
Сахалинская область;2010;353836;23694;13965;
Еврейская автономная область;2010;286;2998;2866;
Чукотский автономный округ;2010;35494;599;6950;
Центральный федеральный округ;2011;833562;6764832;1392745;
Белгородская область;2011;110158;369161;25058;
Брянская область;2011;370;91982;14010;
Владимирская область;2011;1632;222325;26368;
Воронежская область;2011;3100;228302;42596;
Ивановская область;2011;664;73821;25071;
Калужская область;2011;1530;356188;15088;
Костромская область;2011;254;81591;29461;
Курская область;2011;53257;94857;55638;
Липецкая область;2011;3655;355824;26349;
Московская область;2011;7456;1425058;306841;
Орловская область;2011;182;66442;13674;
Рязанская область;2011;1806;148009;33583;
Смоленская область;2011;1270;121947;45821;
Тамбовская область;2011;96.9;80490;11941;
Тверская область;2011;1343;142949;62821;
Тульская область;2011;2310;308752;34306;
Ярославская область;2011;1433;191968;30340;
г. Москва;2011;643044;2405167;593779;
