Субъект РФ;Год;Валовый региональный продукт: всего (млн. руб.);Валовый региональный продукт: на душу населения (руб.)
Ненецкий автономный округ;2020;230378.2;5206287.1
Архангельская область без автономного округа;2020;559215.1;514200.4
Вологодская область;2020;629163;544379.2
Калининградская область;2020;538288.5;530036.9
Ленинградская область;2020;1246136.1;661328.6
Мурманская область;2020;790456.1;1072337.1
Новгородская область;2020;280189.3;471333.3
Псковская область;2020;202945.2;325659.6
г. Санкт-Петербург;2020;5235709.7;971158
Южный             федеральный округ;2020;6709653.9;407280.4
Республика Адыгея;2020;143191.8;309184.1
Республика Калмыкия;2020;93325.1;344933.1
Республика Крым;2020;515610.8;270363.8
Краснодарский край;2020;2616754.4;460720.2
Астраханская область;2020;527888.9;526950.9
Волгоградская область;2020;978858.4;394256.5
Ростовская область;2020;1692406.6;403949.1
г. Севастополь;2020;141617.9;295304.9
Северо-Кавказский        федеральный округ;2020;2404328.2;241662.5
Республика Дагестан;2020;748177.3;239640.7
Республика Ингушетия;2020;72708.6;142199.7
Кабардино-Балкарская Республика;2020;183027.5;210674.1
Карачаево-Черкесская Республика;2020;96566.1;207471.5
Республика Северная Осетия - Алания;2020;186122.2;267814.4
Чеченская Республика;2020;254553.3;171029.5
Ставропольский край;2020;863173.2;308476.2
Приволжский федеральный округ;2020;13669381;468462.3
Республика Башкортостан;2020;1711684.7;425161
Республика Марий Эл;2020;196982.9;290803.3
Республика Мордовия;2020;268963.1;342811.2
Республика Татарстан;2020;2633912.6;675621.4
Удмуртская Республика;2020;675952.3;451490.9
Чувашская Республика;2020;348342.2;287210.3
Пермский край;2020;1403198.8;541930.2
Кировская область;2020;395923.7;315153.9
Нижегородская область ;2020;1586640.6;497418.6
Оренбургская область;2020;1050927.9;538971.9
Пензенская область;2020;493094.2;379820.4
Самарская область;2020;1599554;505093.4
Саратовская область;2020;863401.1;358480.4
Ульяновская область;2020;440802.9;360112.2
Уральский         федеральный округ;2020;11674931.2;945711.8
Курганская область;2020;242305;294464
Свердловская область ;2020;2529780.9;588270
Тюменская область;2020;7287696.1;1934463.9
в том числе:;2020;0;0
Ханты-Мансийский автономный округ - Югра;2020;3353302.7;1994630.3
Ямало-Ненецкий автономный округ;2020;2768191.3;5072483.6
Тюменская область  без автономных округов;2020;1166202.1;757076
Челябинская область;2020;1615149.2;467537.3
Сибирский        федеральный округ;2020;9026904.3;529091
Республика Алтай;2020;62520.3;283451.4
Республика Тыва;2020;82810.7;251799.9
Республика Хакасия;2020;266799.9;500422.8
Алтайский край;2020;671626.9;291156.9
Красноярский край;2020;2722640;951613.7
Иркутская область;2020;1505151.1;631591.9
Кемеровская область;2020;1038086.7;392374.9
Новосибирская область ;2020;1356861.5;485981.4
Омская область;2020;763465.3;398641
Томская область;2020;556941.9;518179.5
Дальневосточный федеральный округ;2020;6044295;741938.3
Республика Бурятия;2020;303155.8;307558.8
Республика Саха (Якутия);2020;1141265.2;1168152.5
Забайкальский край;2020;425378.2;402594.6
Камчатский край;2020;294476.6;942802
Приморский край;2020;1099944;582950.7
Хабаровский край ;2020;861230.6;658239.5
Амурская область;2020;449059.2;571362.1
Магаданская область;2020;284070.7;2035007
Сахалинская область;2020;1002707.9;2059206.5
Еврейская автономная область;2020;63014.4;400340.5
Чукотский автономный округ;2020;119992.4;2404271.2
