Субъект РФ;Год;Валовый региональный продукт: всего (млн. руб.);Валовый региональный продукт: на душу населения (руб.)
Республика Башкортостан;2004;310845.1;76042.5
Республика Марий Эл;2004;30085.6;41757.6
Республика Мордовия;2004;38334.9;43807.6
Республика Татарстан;2004;391116;103726.8
Удмуртская Республика;2004;100833.1;64732.3
Чувашская Республика;2004;59573.8;45955.1
Пермский край;2004;266325.9;96240.2
Кировская область;2004;70706.2;48464.8
Нижегородская область ;2004;241230.4;69629.5
Оренбургская область;2004;169876.7;79522.8
Пензенская область;2004;59711.7;41595.8
Самарская область;2004;327118.5;101362.5
Саратовская область;2004;151636.9;57710.3
Ульяновская область;2004;67501;49606.5
Уральский         федеральный округ;2004;2234753;182505.2
Курганская область;2004;42470.6;42889.3
Свердловская область ;2004;364368.8;82546.5
Тюменская область;2004;1536733.7;467803.8
в том числе:;2004;0;0
Ханты-Мансийский автономный округ - Югра;2004;956196.5;655886.9
Ямало-Ненецкий автономный округ;2004;355718.4;693795
Тюменская область  без автономных округов;2004;0;0
Челябинская область;2004;291179.9;81894.8
Сибирский        федеральный округ;2004;1506602.2;85348.1
Республика Алтай;2004;8516.7;42067.6
Республика Тыва;2004;9838.5;32309
Республика Хакасия;2004;33102.9;61336.4
Алтайский край;2004;114840.5;44934.9
Красноярский край;2004;365454.1;125287.8
Иркутская область;2004;213244.2;84014.3
Кемеровская область;2004;244462;85850.4
Новосибирская область ;2004;191826.7;71843.4
Омская область;2004;192877.3;94389.6
Томская область;2004;132439.3;128090.8
Дальневосточный федеральный округ;2004;803628.7;92547.2
Республика Бурятия;2004;63918.5;65707.2
Республика Саха (Якутия);2004;153496.7;161309
Забайкальский край;2004;61261.8;53845.5
Камчатский край;2004;35139.3;101205.1
Приморский край;2004;152301.1;74713.1
Хабаровский край ;2004;133330.5;94795.1
Амурская область;2004;64250.2;72937
Магаданская область;2004;24612.3;139840.3
Сахалинская область;2004;91729.6;172004.4
Еврейская автономная область;2004;11230.9;60029.9
Чукотский автономный округ;2004;12357.8;238227.2
Центральный федеральный округ;2005;6278359.2;164887.9
Белгородская область;2005;144987.8;95911.2
Брянская область;2005;66692.3;49923.4
Владимирская область;2005;86926.8;58261
Воронежская область;2005;133586.6;56534.5
Ивановская область;2005;44415.4;40039.1
Калужская область;2005;70953.9;69192.2
Костромская область;2005;44684.7;63304.4
Курская область;2005;86624.9;72995.3
Липецкая область;2005;145194.4;121376.2
Московская область;2005;708062.1;104738.3
Орловская область;2005;53181.9;64180.4
Рязанская область;2005;84382.7;70665.8
Смоленская область;2005;65525.6;63687
Тамбовская область;2005;63614.8;55573.9
Тверская область;2005;96897.4;68048.7
Тульская область;2005;116221.2;71587.4
Ярославская область;2005;131252.1;99335.1
г. Москва;2005;4135154.6;381997.1
