Субъекты РФ;Год;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ (тыс. чел);Естественный прирост населения (чел.);Миграционный прирост населения (чел.)
Республика Калмыкия;2016;277.8;-833.4;-1666.8
Республика Крым;2016;1912.2;5736.6;11090.76
Краснодарский край;2016;5570.9;55709;56266.09
Астраханская область;2016;1018.9;203.78;-1732.13
Волгоградская область;2016;2535.2;-10140.8;-4563.36
Ростовская область;2016;4231.3;-4231.3;5077.56
г. Севастополь;2016;428.8;12864;13207.04
Северо-Кавказский     федеральный округ;2016;9775.8;58654.8;-20529.18
Республика Дагестан;2016;3041.9;27377.1;-10950.84
Республика Ингушетия ;2016;480.5;7688;1537.6
Кабардино-Балкарская Республика;2016;864.4;2593.2;-2506.76
Карачаево-Черкесская Республика;2016;466.4;-1399.2;-2471.92
Республика Северная Осетия – Алания;2016;703.3;-703.3;-3024.19
Чеченская Республика ;2016;1414.9;21223.5;-2688.31
Ставропольский край;2016;2804.4;2804.4;-841.32
Приволжский федеральный округ;2016;29636.5;-29636.5;-14818.25
Республика Башкортостан;2016;4067;-4067;-7320.6
Республика Марий Эл;2016;684.7;-1369.4;-1643.28
Республика Мордовия;2016;808.5;808.5;4527.6
Республика Татарстан;2016;3885.2;15540.8;5827.8
Удмуртская Республика;2016;1516.8;-303.36;-2123.52
Чувашская Республика;2016;1235.9;-1235.9;-865.13
Пермский край;2016;2632.1;-2632.1;-3158.52
Кировская область;2016;1291.7;-5166.8;-2712.57
Нижегородская область ;2016;3247.7;-12990.8;-974.31
Оренбургская область;2016;1989.6;-5968.8;-4974
Пензенская область;2016;1341.5;-6707.5;-1341.5
Самарская область;2016;3203.7;-3203.7;1922.22
Саратовская область;2016;2479.2;-7437.6;-495.84
Ульяновская область;2016;1252.9;-5011.6;-751.74
Уральский       федеральный округ;2016;12345.8;37037.4;14814.96
Курганская область;2016;854.1;-7686.9;-4782.96
Свердловская область ;2016;4329.4;-865.88;432.94
Тюменская область;2016;3660;43920;17202
Ханты-Мансийский автономный округ – Югра;2016;1646.1;19753.2;3950.64
Ямало-Ненецкий автономный округ;2016;536;2144;-3484
Тюменская область без автономных округов;2016;1477.9;23646.4;16848.06
Челябинская область;2016;3502.3;1751.15;2801.84
Сибирский        федеральный округ;2016;17263.1;5178.93;-3452.62
Республика Алтай;2016;217;1953;86.8
Республика Тыва;2016;318.6;2867.4;-1338.12
Республика Хакасия;2016;537.7;1075.4;215.08
Алтайский край;2016;2365.7;-11828.5;-6387.39
Красноярский край;2016;2875.3;8625.9;4888.01
Иркутская область;2016;2408.9;-4817.8;-7226.7
Кемеровская область;2016;2708.8;-8126.4;-2708.8
Новосибирская область ;2016;2779.5;16677;15287.25
Омская область;2016;1972.7;-5918.1;-5918.1
Томская область;2016;1078.9;2157.8;215.78
Дальневосточный федеральный округ;2016;8245.8;-16491.6;-27211.14
Республика Бурятия;2016;984.1;1968.2;-3247.53
Республика Саха (Якутия);2016;962.8;2888.4;-4140.04
Забайкальский край;2016;1079;-4316;-6474
Камчатский край;2016;314.7;-1258.8;-1793.79
Приморский край;2016;1923.1;-5769.3;-3269.27
Хабаровский край ;2016;1333.3;-1333.3;-1599.96
Амурская область;2016;801.8;-4009;-3287.38
Магаданская область;2016;145.6;-728;-742.56
Сахалинская область;2016;487.4;48.74;-487.4
Еврейская автономная область;2016;164.2;-1806.2;-1592.74
Чукотский автономный округ;2016;49.8;-348.6;-512.94
Центральный федеральный округ;2017;39311.4;117934.2;200488.14
Белгородская область;2017;1549.9;-3099.8;2789.82
Брянская область;2017;1211;-9688;-2422
Владимирская область;2017;1378.3;-11026.4;-2894.43
Воронежская область;2017;2333.8;-2333.8;10035.34
Ивановская область;2017;1014.6;-8116.8;-2232.12
Калужская область;2017;1012.2;-2024.4;1619.52
Костромская область;2017;643.3;-4503.1;-2122.89
Курская область;2017;1115.2;-7806.4;-1003.68
Липецкая область;2017;1150.2;-5751;-690.12
Московская область;2017;7503.4;82537.4;83287.74
Орловская область;2017;747.2;-7472;-2839.36
Рязанская область;2017;1121.5;-5607.5;897.2
Смоленская область;2017;949.3;-3797.2;2278.32
Тамбовская область;2017;1033.6;-7235.2;20.672
Тверская область;2017;1283.9;-12839;-3851.7
Тульская область;2017;1491.8;-7459;3729.5
Ярославская область;2017;1265.7;-5062.8;885.99
г. Москва;2017;12506.5;125065;111307.85
Северо-Западный  федеральный округ;2017;13952;55808;76736
Республика Карелия;2017;622.5;-4357.5;-1929.75
Республика Коми;2017;840.9;-9249.9;-9418.08
Архангельская область;2017;1155;-10395;-7969.5
Ненецкий автономный округ;2017;44;44;-233.2
Архангельская область без автономного округа;2017;1111;-11110;-7777
Вологодская область;2017;1176.7;-7060.2;-3647.77
Калининградская область;2017;994.6;7956.8;9846.54
Ленинградская область;2017;1813.8;21765.6;31015.98
Мурманская область;2017;753.6;-3768;-3466.56
Новгородская область;2017;606.5;-6065;-1880.15
Псковская область;2017;636.5;-5728.5;-572.85
г. Санкт-Петербург;2017;5351.9;69574.7;64757.99
Южный                 федеральный округ;2017;16441.8;16441.8;44392.86
Республика Адыгея;2017;453.4;9.068;952.14
Республика Калмыкия;2017;275.4;-2478.6;-2671.38
Республика Крым;2017;1913.7;1913.7;8228.91
Краснодарский край;2017;5603.4;33620.4;35301.42
Астраханская область;2017;1017.5;-1017.5;-2035
Волгоградская область;2017;2521.3;-12606.5;-5798.99
Ростовская область;2017;4220.4;-12661.2;2110.2
г. Севастополь;2017;436.7;7860.6;8821.34
Северо-Кавказский     федеральный округ;2017;9823.5;49117.5;-25541.1
Республика Дагестан;2017;3063.9;21447.3;-12868.38
Республика Ингушетия ;2017;488;7808;1268.8
Кабардино-Балкарская Республика;2017;865.8;1731.6;-2424.24
Карачаево-Черкесская Республика;2017;466.3;0;-979.23
Республика Северная Осетия – Алания;2017;701.8;-1403.6;-3298.46
Чеченская Республика ;2017;1437;22992;-2730.3
Ставропольский край;2017;2800.7;-2800.7;-4481.12
Приволжский федеральный округ;2017;29542.7;-88628.1;-35451.24
Республика Башкортостан;2017;4063.3;-4063.3;-2437.98
Республика Марий Эл;2017;682.3;-2046.9;-1978.67
Республика Мордовия;2017;805;-3220;563.5
Республика Татарстан;2017;3894.3;7788.6;4673.16
Удмуртская Республика;2017;1513;-3026;-3479.9
Чувашская Республика;2017;1231.1;-4924.4;-3077.75
Пермский край;2017;2623.1;-7869.3;-6033.13
Кировская область;2017;1283.3;-8983.1;-3593.24
Нижегородская область ;2017;3234.8;-12939.2;646.96
Оренбургская область;2017;1977.7;-11866.2;-8504.11
Пензенская область;2017;1331.7;-9321.9;-2929.74
Самарская область;2017;3193.5;-9580.5;-958.05
Саратовская область;2017;2463;-17241;-6157.5
Ульяновская область;2017;1246.6;-6233;-1371.26
Уральский       федеральный округ;2017;12356.2;12356.2;370.686
Курганская область;2017;845.5;-8455;-5073
Свердловская область ;2017;4325.3;-4325.3;432.53
Тюменская область;2017;3692.4;33231.6;9231
Ханты-Мансийский автономный округ – Югра;2017;1655.1;8275.5;-4137.75
Ямало-Ненецкий автономный округ;2017;538.5;2692.5;-2423.25
Тюменская область без автономных округов;2017;1498.8;20983.2;15737.4
Челябинская область;2017;3493;-10479;-3842.3
Сибирский        федеральный округ;2017;17230.2;-34460.4;-18953.22
Республика Алтай;2017;218.1;1090.5;-283.53
Республика Тыва;2017;321.7;3217;-1061.61
Республика Хакасия;2017;537.5;0;-53.75
Алтайский край;2017;2350.1;-16450.7;-7990.34
Красноярский край;2017;2876.5;0;862.95
Иркутская область;2017;2404.2;-4808.4;-6010.5
Кемеровская область;2017;2694.9;-13474.5;-4042.35
Новосибирская область ;2017;2788.8;8366.4;10597.44
Омская область;2017;1960.1;-11760.6;-9800.5
Томская область;2017;1078.3;-1078.3;-1186.13
Дальневосточный федеральный округ;2017;8222.6;-24667.8;-28779.1
Республика Бурятия;2017;984.5;0;-3445.75
Республика Саха (Якутия);2017;964.4;1928.8;-4629.12
Забайкальский край;2017;1072.8;-6436.8;-7938.72
Камчатский край;2017;315.5;946.5;536.35
Приморский край;2017;1913;-9565;-5547.7
Хабаровский край ;2017;1328.3;-5313.2;-3719.24
Амурская область;2017;798.4;-3193.6;-2075.84
Магаданская область;2017;144.1;-1441;-1397.77
Сахалинская область;2017;490.2;2941.2;2401.98
Еврейская автономная область;2017;162;-2106;-1927.8
Чукотский автономный округ;2017;49.4;-494;-652.08
Центральный федеральный округ;2018;39378.1;78756.2;185077.07
Белгородская область;2018;1547.4;-3094.8;4177.98
Брянская область;2018;1200.2;-10801.8;-3600.6
Владимирская область;2018;1365.8;-12292.2;-3277.92
Воронежская область;2018;2327.8;-6983.4;6750.62
Ивановская область;2018;1004.2;-10042;-3313.86
Калужская область;2018;1009.4;-3028.2;1917.86
Костромская область;2018;637.2;-5734.8;-2739.96
Курская область;2018;1107;-7749;-1328.4
Липецкая область;2018;1144.1;-5720.5;-457.64
Московская область;2018;7599.7;98796.1;106395.8
Орловская область;2018;739.5;-7395;-2736.15
Рязанская область;2018;1114.1;-7798.7;-445.64
Смоленская область;2018;942.4;-6596.8;-188.48
Тамбовская область;2018;1016;-17272;-9855.2
Тверская область;2018;1269.6;-13965.6;-4316.64
Тульская область;2018;1478.8;-13309.2;-1330.92
Ярославская область;2018;1259.6;-6298;377.88
г. Москва;2018;12615.3;113537.7;99660.87
Северо-Западный  федеральный округ;2018;13972.1;13972.1;50299.56
Республика Карелия;2018;618;-4326;-1297.8
Республика Коми;2018;830.2;-10792.6;-9215.22
Архангельская область;2018;1144.1;-10296.9;-7093.42
Ненецкий автономный округ;2018;43.8;-175.2;-389.82
Архангельская область без автономного округа;2018;1100.3;-11003;-6711.83
Вологодская область;2018;1167.7;-9341.6;-4437.26
Калининградская область;2018;1002.2;8017.6;9520.9
Ленинградская область;2018;1847.9;35110.1;44164.81
Мурманская область;2018;748.1;-5236.7;-4413.79
Новгородская область;2018;600.3;-6003;-1920.96
Псковская область;2018;629.7;-6926.7;-1826.13
г. Санкт-Петербург;2018;5383.9;32303.4;27996.28
Южный                 федеральный округ;2018;16454.5;16454.5;49363.5
Республика Адыгея;2018;454.8;1364.4;2455.92
Республика Калмыкия;2018;272.6;-2726;-3162.16
Республика Крым;2018;1911.8;-1911.8;4779.5
Краснодарский край;2018;5648.2;45185.6;48009.7
Астраханская область;2018;1014.1;-3042.3;-3447.94
Волгоградская область;2018;2507.5;-12537.5;-3761.25
Ростовская область;2018;4202.3;-16809.2;-2521.38
г. Севастополь;2018;443.2;6648;7800.32
Северо-Кавказский     федеральный округ;2018;9866.8;39467.2;-25653.68
Республика Дагестан;2018;3086.1;21602.7;-11109.96
Республика Ингушетия ;2018;497.4;9450.6;2884.92
Кабардино-Балкарская Республика;2018;866.2;433.1;-3378.18
Карачаево-Черкесская Республика;2018;465.6;-931.2;-1583.04
Республика Северная Осетия – Алания;2018;699.3;-2797.2;-4475.52
Чеченская Республика ;2018;1457;20398;-3642.5
Ставропольский край;2018;2795.2;-5590.4;-3913.28
Приволжский федеральный округ;2018;29397.2;-146986;-64673.84
Республика Башкортостан;2018;4051;-12153;-8912.2
Республика Марий Эл;2018;680.4;-2041.2;-680.4
Республика Мордовия;2018;795.5;-9546;-5488.95
Республика Татарстан;2018;3898.7;3898.7;2729.09
Удмуртская Республика;2018;1507.4;-6029.6;-4069.98
Чувашская Республика;2018;1223.4;-7340.4;-5260.62
Пермский край;2018;2610.8;-13054;-6527
Кировская область;2018;1272.1;-11448.9;-4706.77
Нижегородская область ;2018;3214.6;-19287.6;-3857.52
Оренбургская область;2018;1963;-13741;-10207.6
Пензенская область;2018;1318.1;-13181;-5799.64
Самарская область;2018;3183;-9549;-318.3
Саратовская область;2018;2440.8;-21967.2;-10251.36
Ульяновская область;2018;1238.4;-8668.8;-2600.64
Уральский       федеральный округ;2018;12350.1;-6175.05;-6175.05
Курганская область;2018;834.7;-10851.1;-6427.19
Свердловская область ;2018;4315.7;-8631.4;-1294.71
Тюменская область;2018;3724;33516;10427.2
Ханты-Мансийский автономный округ – Югра;2018;1663.8;8319;-3493.98
Ямало-Ненецкий автономный округ;2018;541.5;2707.5;-1732.8
Тюменская область без автономных округов;2018;1518.7;19743.1;15794.48
Челябинская область;2018;3475.7;-17378.5;-9036.82
Сибирский        федеральный округ;2018;17173.3;-51519.9;-29194.61
Республика Алтай;2018;218.9;875.6;-350.24
Республика Тыва;2018;324.4;2595.2;-973.2
Республика Хакасия;2018;536.2;-1608.6;-911.54
Алтайский край;2018;2332.8;-16329.6;-7464.96
Красноярский край;2018;2874;-2874;-287.4
Иркутская область;2018;2397.7;-7193.1;-5994.25
Кемеровская область;2018;2674.3;-21394.4;-8290.33
Новосибирская область ;2018;2793.4;5586.8;8100.86
Омская область;2018;1944.2;-15553.6;-12054.04
Томская область;2018;1077.4;-1077.4;-646.44
Дальневосточный федеральный округ;2018;8188.6;-32754.4;-32754.4
Республика Бурятия;2018;983.3;-983.3;-4621.51
Республика Саха (Якутия);2018;967;2901;-2997.7
Забайкальский край;2018;1065.8;-7460.6;-7354.02
Камчатский край;2018;314.7;-944.1;-692.34
Приморский край;2018;1902.7;-9513.5;-4566.48
Хабаровский край ;2018;1321.5;-6607.5;-4889.55
Амурская область;2018;793.2;-5552.4;-3410.76
Магаданская область;2018;141.2;-2824;-2640.44
Сахалинская область;2018;489.6;-489.6;-342.72
Еврейская автономная область;2018;159.9;-2078.7;-1774.89
Чукотский автономный округ;2018;49.7;298.2;238.56
Центральный федеральный округ;2019;39433.6;39433.6;185337.92
Белгородская область;2019;1549.2;1549.2;9295.2
Брянская область;2019;1192.5;-7155;-35.775
Владимирская область;2019;1358.4;-6792;2716.8
Воронежская область;2019;2324.2;-4648.4;9761.64
Ивановская область;2019;997.1;-6979.7;797.68
Калужская область;2019;1002.6;-7018.2;-1102.86
Костромская область;2019;633.4;-3800.4;-316.7
Курская область;2019;1104;-3312;4305.6
Липецкая область;2019;1139.4;-4557.6;1823.04
Московская область;2019;7690.9;92290.8;110748.96
Орловская область;2019;733.5;-5868;-660.15
Рязанская область;2019;1108.8;-5544;2328.48
Смоленская область;2019;934.9;-7479.2;-373.96
Тамбовская область;2019;1006.7;-9060.3;-1812.06
Тверская область;2019;1260.4;-8822.8;630.2
Тульская область;2019;1466.1;-13194.9;-586.44
Ярославская область;2019;1253.4;-6267;1002.72
г. Москва;2019;12678.1;63390.5;48176.78
Северо-Западный  федеральный округ;2019;13982;13982;48937
Республика Карелия;2019;614.1;-4298.7;-736.92
Республика Коми;2019;820.5;-9846;-7712.7
Архангельская область;2019;1136.5;-7955.5;-2954.9
Ненецкий автономный округ;2019;44.1;264.6;79.38
Архангельская область без автономного округа;2019;1092.4;-7646.8;-3058.72
Вологодская область;2019;1160.4;-6962.4;-2088.72
Калининградская область;2019;1012.5;10125;13061.25
Ленинградская область;2019;1875.9;28138.5;38268.36
Мурманская область;2019;741.4;-6672.6;-4819.1
Новгородская область;2019;596.5;-3579;835.1
Псковская область;2019;626.1;-3756.6;1753.08
г. Санкт-Петербург;2019;5398.1;16194.3;14574.87
Южный                 федеральный округ;2019;16466.1;16466.1;60924.57
Республика Адыгея;2019;463.1;8335.8;9910.34
Республика Калмыкия;2019;271.1;-1626.6;-1762.15
Республика Крым;2019;1912.6;765.04;8415.44
Краснодарский край;2019;5675.5;28377.5;36323.2
Астраханская область;2019;1005.8;-8046.4;-7845.24
Волгоградская область;2019;2491;-17437;-4732.9
Ростовская область;2019;4197.8;-4197.8;13432.96
г. Севастополь;2019;449.2;5839.6;7501.64
Северо-Кавказский     федеральный округ;2019;9931;59586;1986.2
Республика Дагестан;2019;3110.8;24886.4;-6221.6
Республика Ингушетия ;2019;507.1;9634.9;2991.89
Кабардино-Балкарская Республика;2019;868.4;1736.8;-607.88
Карачаево-Черкесская Республика;2019;465.5;-46.55;-884.45
Республика Северная Осетия – Алания;2019;696.9;-2090.7;-3763.26
Чеченская Республика ;2019;1478.7;22180.5;-1626.57
Ставропольский край;2019;2803.6;8410.8;12055.48
Приволжский федеральный округ;2019;29287.7;-117150.8;-11715.08
Республика Башкортостан;2019;4038.1;-12114.3;-5653.34
Республика Марий Эл;2019;679.4;-679.4;543.52
Республика Мордовия;2019;790.2;-5531.4;-790.2
Республика Татарстан;2019;3902.9;3902.9;4293.19
Удмуртская Республика;2019;1501;-6004;-3152.1
Чувашская Республика;2019;1217.8;-6089;-1948.48
Пермский край;2019;2599.3;-10397.2;-3639.02
Кировская область;2019;1262.4;-10099.2;-2777.28
Нижегородская область ;2019;3203;-12812;6406
Оренбургская область;2019;1956.8;-5870.4;-195.68
Пензенская область;2019;1305.6;-13056;-4439.04
Самарская область;2019;3179.5;-3179.5;8902.6
Саратовская область;2019;2421.9;-19375.2;-5570.37
Ульяновская область;2019;1229.8;-8608.6;-2336.62
Уральский       федеральный округ;2019;12360.7;12360.7;19777.12
Курганская область;2019;827.2;-7444.8;-2481.6
Свердловская область ;2019;4310.7;-4310.7;6466.05
Тюменская область;2019;3756.5;33808.5;14650.35
Ханты-Мансийский автономный округ – Югра;2019;1674.7;10048.2;167.47
Ямало-Ненецкий автономный округ;2019;544.4;2722;-1306.56
Тюменская область без автономных округов;2019;1537.4;18448.8;15681.48
Челябинская область;2019;3466.3;-10398.9;1733.15
Сибирский        федеральный округ;2019;17118.3;-51354.9;-11982.81
Республика Алтай;2019;220.2;1321.2;550.5
Республика Тыва;2019;327.4;2946.6;-392.88
Республика Хакасия;2019;534.2;-2136.8;-801.3
Алтайский край;2019;2317.1;-16219.7;-4170.78
Красноярский край;2019;2866.2;-8598.6;-2866.2
Иркутская область;2019;2391.2;-7173.6;-3347.68
Кемеровская область;2019;2657.8;-15946.8;-2392.02
Новосибирская область ;2019;2798.2;5596.4;10353.34
Омская область;2019;1926.7;-17340.3;-12138.21
Томская область;2019;1079.3;2158.6;3237.9
Дальневосточный федеральный округ;2019;8169.2;-16338.4;-10619.96
Республика Бурятия;2019;985.9;2957.7;1084.49
Республика Саха (Якутия);2019;972;4860;-194.4
Забайкальский край;2019;1059.7;-6358.2;-5510.44
Камчатский край;2019;313;-1565;-1565
Приморский край;2019;1895.9;-7583.6;758.36
Хабаровский край ;2019;1315.7;-5262.8;-2762.97
Амурская область;2019;790;-3160;45153
Магаданская область;2019;140.1;-1120.8;-742.53
Сахалинская область;2019;488.3;-1464.9;-1074.26
Еврейская автономная область;2019;158.3;-1583;-1028.95
Чукотский автономный округ;2019;50.3;603.6;558.33
Центральный федеральный округ;2020;39251;-196255;54951.4
Белгородская область;2020;1541.3;-7706.5;3853.25
Брянская область;2020;1182.7;-9461.6;827.89
Владимирская область;2020;1342.1;-16105.2;-1744.73
Воронежская область;2020;2305.6;-18444.8;691.68
Ивановская область;2020;987;-9870;-98.7
Калужская область;2020;1001;-2002;6806.8
Костромская область;2020;628.4;-5027.2;188.52
Курская область;2020;1096.5;-7675.5;2741.25
Липецкая область;2020;1128.2;-11282;-451.28
Московская область;2020;7708.5;15417;50876.1
Орловская область;2020;724.7;-8696.4;-1159.52
Рязанская область;2020;1098.3;-10983;768.81
Смоленская область;2020;921.1;-13816.5;-4329.17
Тамбовская область;2020;994.4;-11932.8;-1889.36
Тверская область;2020;1245.6;-14947.2;-1619.28
Тульская область;2020;1449.1;-17389.2;-434.73
Ярославская область;2020;1241.4;-12414;-1117.26
г. Москва;2020;12655.1;-25310.2;1265.51
Северо-Западный  федеральный округ;2020;13942;-41826;36249.2
Республика Карелия;2020;609.1;-4872.8;-60.91
Республика Коми;2020;813.6;-6508.8;-3417.12
Архангельская область;2020;1127.1;-9016.8;-2366.91
Ненецкий автономный округ;2020;44.4;266.4;128.76
Архангельская область без автономного округа;2020;1082.7;-9744.3;-2490.21
Вологодская область;2020;1151;-9208;-2071.8
Калининградская область;2020;1018.7;6112.2;10288.87
Ленинградская область;2020;1892.7;17034.3;31797.36
Мурманская область;2020;732.9;-8794.8;-5057.01
Новгородская область;2020;592.4;-4146.8;1895.68
Псковская область;2020;620.2;-5581.8;1054.34
г. Санкт-Петербург;2020;5384.3;-16152.9;4307.44
Южный                 федеральный округ;2020;16482.5;16482.5;105488
Республика Адыгея;2020;463.2;92.64;1806.48
Республика Калмыкия;2020;270;-1080;-891
Республика Крым;2020;1901.5;-11409;950.75
Краснодарский край;2020;5683.9;5683.9;31261.45
Астраханская область;2020;997.8;-7982.4;-5288.34
Волгоградская область;2020;2474.6;-17322.2;3216.98
Ростовская область;2020;4181.5;-16726;12126.35
г. Севастополь;2020;510;60690;66963
Северо-Кавказский     федеральный округ;2020;9967.3;39869.2;-9967.3
Республика Дагестан;2020;3133.3;21933.1;-5013.28
Республика Ингушетия ;2020;515.5;8248;2113.55
Кабардино-Балкарская Республика;2020;869.2;869.2;-956.12
Карачаево-Черкесская Республика;2020;465.4;0;-279.24
Республика Северная Осетия – Алания;2020;693.1;-3465.5;-3396.19
Чеченская Республика ;2020;1498;19474;-1198.4
Ставропольский край;2020;2792.8;-11171.2;-1675.68
Приволжский федеральный округ;2020;29070.8;-203495.6;-23256.64
Республика Башкортостан;2020;4013.8;-24082.8;-5217.94
Республика Марий Эл;2020;675.3;-4051.8;-945.42
Республика Мордовия;2020;779;-10906;-3661.3
Республика Татарстан;2020;3894.1;-7788.2;4283.51
Удмуртская Республика;2020;1493.4;-7467;-896.04
Чувашская Республика;2020;1207.9;-9663.2;-2415.8
Пермский край;2020;2579.2;-20633.6;-5158.4
Кировская область;2020;1250.2;-12502;-1625.26
Нижегородская область ;2020;3176.5;-25412;1270.6
Оренбургская область;2020;1942.9;-13600.3;-777.16
Пензенская область;2020;1290.9;-14199.9;-1549.08
Самарская область;2020;3154.2;-25233.6;-315.42
Саратовская область;2020;2395.1;-26346.1;-5029.71
Ульяновская область;2020;1218.3;-10964.7;-1096.47
Уральский       федеральный округ;2020;12329.5;-36988.5;9863.6
Курганская область;2020;818.6;-9004.6;-1719.06
Свердловская область ;2020;4290;-21450;3003
Тюменская область;2020;3778.1;22668.6;10200.87
Ханты-Мансийский автономный округ – Югра;2020;1687.7;13501.6;5231.87
Ямало-Ненецкий автономный округ;2020;547;2735;-1203.4
Тюменская область без автономных округов;2020;1543.4;6173.6;5864.92
Челябинская область;2020;3442.8;-24099.6;-1377.12
Сибирский        федеральный округ;2020;17003.9;-119027.3;-27206.24
Республика Алтай;2020;221;663;331.5
Республика Тыва;2020;330.4;2973.6;-594.72
Республика Хакасия;2020;532;-2128;-106.4
Алтайский край;2020;2296.4;-20667.6;-2526.04
Красноярский край;2020;2855.9;-11423.6;1427.95
Иркутская область;2020;2375;-16625;-7362.5
Кемеровская область;2020;2633.4;-23700.6;-3950.1
Новосибирская область ;2020;2785.8;-11143.2;1671.48
Омская область;2020;1903.7;-22844.4;-10851.09
Томская область;2020;1070.3;-8562.4;-4495.26
Дальневосточный федеральный округ;2020;8124;-48744;-21934.8
Республика Бурятия;2020;985.4;-985.4;-1379.56
Республика Саха (Якутия);2020;982;9820;5990.2
Забайкальский край;2020;1053.5;-6321;-4214
Камчатский край;2020;311.7;-1246.8;-623.4
Приморский край;2020;1877.8;-18778;-6947.86
Хабаровский край ;2020;1301.1;-14312.1;-7806.6
Амурская область;2020;781.9;-7819;-3283.98
Магаданская область;2020;139;-1112;-667.2
Сахалинская область;2020;485.6;-2428;-1553.92
Еврейская автономная область;2020;156.5;-1878;-923.35
Чукотский автономный округ;2020;49.5;-742.5;-777.15
Центральный федеральный округ;2021;39104.4;-156417.6;191611.56
Белгородская область;2021;1531.9;-9191.4;6433.98
Брянская область;2021;1168.8;-14025.6;935.04
Владимирская область;2021;1323.7;-18531.8;529.48
Воронежская область;2021;2287.7;-18301.6;10065.88
Ивановская область;2021;976.9;-9769;2637.63
Калужская область;2021;1012.8;12153.6;22788
Костромская область;2021;620.8;-7449.6;24.832
Курская область;2021;1083.6;-13003.2;1733.76
Липецкая область;2021;1113.7;-14478.1;222.74
Московская область;2021;7768.9;62151.2;113425.94
Орловская область;2021;714.1;-10711.5;-999.74
Рязанская область;2021;1085.2;-13022.4;2821.52
Смоленская область;2021;909.8;-10917.6;1364.7
Тамбовская область;2021;981;-13734;-9.81
Тверская область;2021;1230.1;-15991.3;1599.13
Тульская область;2021;1432.6;-17191.2;3868.02
Ярославская область;2021;1227.3;-13500.3;736.38
г. Москва;2021;12635.5;-25271;22743.9
Северо-Западный  федеральный округ;2021;13901.1;-41703.3;73675.83
Республика Карелия;2021;603.1;-6031;1326.82
Республика Коми;2021;803.5;-10445.5;-4258.55
Архангельская область;2021;1114.3;-12257.3;-1894.31
Ненецкий автономный округ;2021;44.5;133.5;137.95
Архангельская область без автономного округа;2021;1069.8;-12837.6;-2032.62
Вологодская область;2021;1139.5;-11395;-911.6
Калининградская область;2021;1027.7;9249.3;16134.89
Ленинградская область;2021;1911.6;19116;38232
Мурманская область;2021;724.5;-8694;-2825.55
Новгородская область;2021;586.1;-6447.1;2227.18
Псковская область;2021;613.3;-6746.3;1410.59
г. Санкт-Петербург;2021;5377.5;-5377.5;23661
Южный                 федеральный округ;2021;16434.9;-49304.7;88748.46
Республика Адыгея;2021;468.4;5152.4;7962.8
Республика Калмыкия;2021;267.8;-2142.4;-1258.66
Республика Крым;2021;1896.4;-5689.2;12326.6
Краснодарский край;2021;5687.3;5687.3;40948.56
Астраханская область;2021;989.4;-7915.2;-2770.32
Волгоградская область;2021;2449.8;-24498;2204.82
Ростовская область;2021;4153.7;-29075.9;14953.32
г. Севастополь;2021;522.1;12008.3;15558.58
Северо-Кавказский     федеральный округ;2021;9997.3;29991.9;-3998.92
Республика Дагестан;2021;3153.8;22076.6;-3469.18
Республика Ингушетия ;2021;524.1;8385.6;2201.22
Кабардино-Балкарская Республика;2021;870.5;1741;261.15
Карачаево-Черкесская Республика;2021;464.2;-1392.6;46.42
Республика Северная Осетия – Алания;2021;688.1;-4816.7;-3234.07
Чеченская Республика ;2021;1516.4;18196.8;-2122.96
Ставропольский край;2021;2780.2;-13901;3058.22
Приволжский федеральный округ;2021;28844.3;-230754.4;28844.3
Республика Башкортостан;2021;4001.6;-12004.8;14405.76
Республика Марий Эл;2021;671.5;-4029;940.1
Республика Мордовия;2021;770.7;-8477.7;924.84
Республика Татарстан;2021;3886.4;-7772.8;11270.56
Удмуртская Республика;2021;1484.5;-8907;59.38
Чувашская Республика;2021;1198.4;-9587.2;-119.84
Пермский край;2021;2556.8;-23011.2;-3323.84
Кировская область;2021;1234.8;-16052.4;-1358.28
Нижегородская область ;2021;3144.2;-31442;4401.88
Оренбургская область;2021;1924.6;-19246;-38.492
Пензенская область;2021;1274.1;-16563.3;-637.05
Самарская область;2021;3131.7;-21921.9;7829.25
Саратовская область;2021;2361;-35415;-4249.8
Ульяновская область;2021;1204;-14448;-602
Уральский       федеральный округ;2021;12294.9;-36884.7;29507.76
Курганская область;2021;805.5;-12888;-3624.75
Свердловская область ;2021;4264.3;-25585.8;8102.17
Тюменская область;2021;3806.5;30452;22839
Ханты-Мансийский автономный округ – Югра;2021;1702.2;15319.8;9362.1
Ямало-Ненецкий автономный округ;2021;552.1;4968.9;1656.3
Тюменская область без автономных округов;2021;1552.2;9313.2;11796.72
Челябинская область;2021;3418.6;-23930.2;3076.74
Сибирский        федеральный округ;2021;16889.4;-118225.8;11822.58
Республика Алтай;2021;221.6;664.8;554
Республика Тыва;2021;332.6;2328.2;-1363.66
Республика Хакасия;2021;528.3;-3698.1;-422.64
Алтайский край;2021;2268.2;-27218.4;-3402.3
Красноярский край;2021;2849.2;-5698.4;11966.64
Иркутская область;2021;2357.1;-18856.8;-2121.39
Кемеровская область;2021;2604.3;-28647.3;-3125.16
Новосибирская область ;2021;2780.3;-5560.6;13345.44
Омская область;2021;1879.5;-24433.5;-7518
