Субъекты РФ;Год;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ (тыс. чел);Естественный прирост населения (чел.);Миграционный прирост населения (чел.)
Курская область;2003;1213.4;-16987.6;-4368.24
Липецкая область;2003;1205.3;-6026.5;5905.97
Московская область;2003;6671.3;53370.4;115413.49
Орловская область;2003;847.1;-11012.3;-2795.43
Рязанская область;2003;1210.3;-13313.3;2178.54
Смоленская область;2003;1039.1;-6234.6;7065.88
Тамбовская область;2003;1161.9;-12780.9;929.52
Тверская область;2003;1447.8;-17373.6;3909.06
Тульская область;2003;1649.2;-19790.4;3793.16
Ярославская область;2003;1347.1;-17512.3;-1347.1
г. Москва;2003;10535.7;147499.8;200178.3
Северо-Западный  федеральный округ;2003;13860.2;-83161.2;37422.54
Республика Карелия;2003;702.8;-11947.6;-5481.84
Республика Коми;2003;999.9;-15998.4;-11698.83
Архангельская область;2003;1315.5;-17101.5;-7498.35
Ненецкий автономный округ;2003;41.9;167.6;108.94
Архангельская область без автономного округа;2003;1273.6;-16556.8;-7641.6
Вологодская область;2003;1255.9;-11303.1;879.13
Калининградская область;2003;947.9;-6635.3;2085.38
Ленинградская область;2003;1673.3;6693.2;27944.11
Мурманская область;2003;873.2;-16590.8;-12923.36
Новгородская область;2003;682.9;-8877.7;682.9
Псковская область;2003;746.8;-11202;597.44
г. Санкт-Петербург;2003;4662;4662;42890.4
Южный                 федеральный округ;2003;13905.9;-41717.7;33374.16
Республика Адыгея;2003;444.8;-1779.2;311.36
Республика Калмыкия;2003;292.2;292.2;-116.88
Республика Крым;2003;0;0;0
Краснодарский край;2003;5114.9;-5114.9;22505.56
Астраханская область;2003;1006.1;1006.1;4728.67
Волгоградская область;2003;2672.4;-21379.2;-3474.12
Ростовская область;2003;4375.5;-21877.5;10063.65
г. Севастополь;2003;0;0;0
Северо-Кавказский     федеральный округ;2003;8967.1;26901.3;-8070.39
Республика Дагестан;2003;2617.5;36645;10731.75
Республика Ингушетия ;2003;451.9;-16268.4;-21691.2
Кабардино-Балкарская Республика;2003;889.6;-11564.8;-11386.88
Карачаево-Черкесская Республика;2003;444.4;5777.2;5866.08
Республика Северная Осетия – Алания;2003;707.7;-2123.1;-990.78
Чеченская Республика ;2003;1116.9;11169;-9046.89
Ставропольский край;2003;2739.1;5478.2;19721.52
Приволжский федеральный округ;2003;30893.1;-216251.7;-9267.93
