Субъект РФ;Год;Оборот розничной торговли (млн. руб.);Объем платных услуг населению (млн. руб.)
Курганская область;2003;18091.37;4464.3244
Свердловская область ;2003;134139.044;43429.4795
Тюменская область;2003;146362.467;44791.7617
в том числе:;2003;0;0
Ханты-Мансийский автономный округ - Югра;2003;75723.685;23184.6052
Ямало-Ненецкий автономный округ;2003;27021.377;8882.4614
Тюменская область  без автономных округов;2003;0;0
Челябинская область;2003;82603.0166;23985.8108
Сибирский        федеральный округ;2003;528960.966;141814.1632
Республика Алтай;2003;2807.2615;590.0683
Республика Тыва;2003;3581.385;802.5626
Республика Хакасия;2003;9250.672;3821.7421
Алтайский край;2003;53126.644;13058.8814
Красноярский край;2003;89835.7401;29530.6037
Иркутская область;2003;67486.402;20157.2349
Кемеровская область;2003;88177.8348;18736
Новосибирская область ;2003;82946.788;28046.0886
Омская область;2003;54124.6522;15165.935
Томская область;2003;28786.677;11905.0466
Дальневосточный федеральный округ;2003;191149.2307;93459
Республика Бурятия;2003;22318.4034;4731.5563
Республика Саха (Якутия);2003;40286.356;13134.9423
Забайкальский край;2003;26518.506;6054.486
Камчатский край;2003;10897.099;4685.8243
Приморский край;2003;51278.7026;21955.835
Хабаровский край ;2003;39440.521;23848.2616
Амурская область;2003;18226.648;6204.3038
Магаданская область;2003;5310.574;2984.5654
Сахалинская область;2003;19232.3166;8123.3736
Еврейская автономная область;2003;4467.382;916.8991
Чукотский автономный округ;2003;2009.6315;818.7955
Центральный федеральный округ;2004;2166665.21;700127.9268
Белгородская область;2004;36559.82;10401.339
Брянская область;2004;30896.464;11114.6125
Владимирская область;2004;24935.43;10265.7902
Воронежская область;2004;66949.8543;15307.4941
Ивановская область;2004;17426.135;7952.6993
Калужская область;2004;31231.93;8242.2997
Костромская область;2004;16146.7377;4060.5263
Курская область;2004;30524.533;7749.9019
Липецкая область;2004;34180.854;9174.9974
Московская область;2004;284996.9199;85873.4068
Орловская область;2004;21357.0816;5883.3951
Рязанская область;2004;29967.113;8525.5814
Смоленская область;2004;30999.387;7090.5689
Тамбовская область;2004;29399.98;8381.9125
Тверская область;2004;40512.5711;11772.4574
Тульская область;2004;38792.0998;12431.7616
Ярославская область;2004;31653.184;12370.8585
г. Москва;2004;1370135.116;463528.3242
Северо-Западный федеральный округ;2004;527487.555;195499.0418
Республика Карелия;2004;24267.159;7180.8361
Республика Коми;2004;55559.483;13589.5412
Архангельская область;2004;43867.805;13627.2408
в том числе: ;2004;0;0
Ненецкий автономный округ;2004;1632.748;283.7687
Архангельская область без автономного округа;2004;0;0
Вологодская область;2004;31460.722;11502.674
Калининградская область;2004;28821.548;9200.7415
Ленинградская область;2004;46000.366;10702.5075
Мурманская область;2004;39311.984;16195.9821
Новгородская область;2004;18338.051;6465.9338
Псковская область;2004;23967.051;5814.8154
г. Санкт-Петербург;2004;215893.386;101218.7694
Южный             федеральный округ;2004;437380.872;133120.5166
Республика Адыгея;2004;8775.693;2417.1657
Республика Калмыкия;2004;3001.073;922.0123
Республика Крым;2004;0;0
Краснодарский край;2004;167381.84;55601.2606
Астраханская область;2004;25936.462;8279.117
Волгоградская область;2004;80030.7672;25709.9907
Ростовская область;2004;152255.0368;40190.9703
г. Севастополь;2004;0;0
Северо-Кавказский        федеральный округ;2004;191040.7178;52810.0716
Республика Дагестан;2004;58148.547;12283.7035
Республика Ингушетия;2004;2983.4619;1082.7457
Кабардино-Балкарская Республика;2004;18683.555;5606.7687
Карачаево-Черкесская Республика;2004;9600.5681;2148.3096
Республика Северная Осетия - Алания;2004;12668.197;5832.8014
Чеченская Республика;2004;9085.9898;0
Ставропольский край;2004;79870.399;25855.7427
Приволжский федеральный округ;2004;940884.1437;273278.2172
Республика Башкортостан;2004;133567.619;45427.242
Республика Марий Эл;2004;10787.292;4237.4514
Республика Мордовия;2004;15277.676;4429.1261
Республика Татарстан;2004;121736.562;36555.9176
Удмуртская Республика;2004;31792.9879;11853.318
Чувашская Республика;2004;23804.628;10370.1173
Пермский край;2004;101149.347;29066.5406
Кировская область;2004;30238.351;10733.4941
Нижегородская область ;2004;115730.924;24754.8982
Оренбургская область;2004;40885.832;15461.3159
