Субъект РФ;Год;Продукция сельского хозяйства (млн. руб.)
Белгородская область;2005;32690.6
Брянская область;2005;13494.2
Владимирская область;2005;12530.5
Воронежская область;2005;31668.5
Ивановская область;2005;6334.8
Калужская область;2005;10942.3
Костромская область;2005;8082
Курская область;2005;21924.6
Липецкая область;2005;20091.6
Московская область;2005;42350.2
Орловская область;2005;14729.7
Рязанская область;2005;14543.2
Смоленская область;2005;9454.9
Тамбовская область;2005;18450.4
Тверская область;2005;10155.4
Тульская область;2005;15329.3
Ярославская область;2005;10179.4
г. Москва;2005;0
Северо-Западный федеральный округ;2005;73976.2
Республика Карелия;2005;2683.4
Республика Коми;2005;3973.1
Архангельская область;2005;5251.2
в том числе: ;2005;0
Ненецкий автономный округ;2005;282.3
Архангельская область без автономного округа;2005;0
Вологодская область;2005;14165.7
Калининградская область;2005;7504.7
Ленинградская область;2005;25751.8
Мурманская область;2005;1440.7
Новгородская область;2005;6034.8
Псковская область;2005;7170.8
г. Санкт-Петербург;2005;0
Южный             федеральный округ;2005;208111.2
Республика Адыгея;2005;4227.7
Республика Калмыкия;2005;4445.2
Республика Крым;2005;0
Краснодарский край;2005;97106.2
Астраханская область;2005;7892.8
Волгоградская область;2005;32958.5
Ростовская область;2005;61480.8
г. Севастополь;2005;0
Северо-Кавказский        федеральный округ;2005;104073.3
Республика Дагестан;2005;25196.9
Республика Ингушетия;2005;1957.6
Кабардино-Балкарская Республика;2005;13581.1
Карачаево-Черкесская Республика;2005;6633.4
Республика Северная Осетия - Алания;2005;7639.3
Чеченская Республика;2005;4551.6
Ставропольский край;2005;44513.4
Приволжский федеральный округ;2005;355588.2
Республика Башкортостан;2005;60351.2
Республика Марий Эл;2005;10141.7
Республика Мордовия;2005;16055.7
Республика Татарстан;2005;61603
Удмуртская Республика;2005;18660.4
Чувашская Республика;2005;13482.6
Пермский край;2005;18126.9
Кировская область;2005;16252.5
Нижегородская область ;2005;26547.8
Оренбургская область;2005;29418.9
Пензенская область;2005;15715.7
Самарская область;2005;23092.6
Саратовская область;2005;34920.7
Ульяновская область;2005;11218.5
Уральский         федеральный округ;2005;97486.6
Курганская область;2005;10982.4
Свердловская область ;2005;27395.5
Тюменская область;2005;24213.6
в том числе:;2005;0
Ханты-Мансийский автономный округ - Югра;2005;2550.6
Ямало-Ненецкий автономный округ;2005;497.3
Тюменская область  без автономных округов;2005;0
Челябинская область;2005;34895.1
Сибирский        федеральный округ;2005;185004.3
Республика Алтай;2005;3057.3
Республика Тыва;2005;2260.8
Республика Хакасия;2005;4008.3
Алтайский край;2005;39838.9
Красноярский край;2005;31037.4
Иркутская область;2005;19670.4
Кемеровская область;2005;16148.1
Новосибирская область ;2005;27027.4
Омская область;2005;32861.1
Томская область;2005;9094.6
Дальневосточный федеральный округ;2005;63769
Республика Бурятия;2005;8036.6
Республика Саха (Якутия);2005;12200.3
Забайкальский край;2005;8427
Камчатский край;2005;2183.5
Приморский край;2005;9476.2
Хабаровский край ;2005;7477.7
Амурская область;2005;8705
Магаданская область;2005;713.5
Сахалинская область;2005;3499.1
Еврейская автономная область;2005;2757.6
Чукотский автономный округ;2005;293
Центральный федеральный округ;2006;325484
Белгородская область;2006;39067.6
Брянская область;2006;14295.4
Владимирская область;2006;13347.4
Воронежская область;2006;35947.4
Ивановская область;2006;6970.5
Калужская область;2006;11697.9
Костромская область;2006;9139.9
Курская область;2006;24158.4
Липецкая область;2006;24366.6
Московская область;2006;45191.2
Орловская область;2006;14690.6
Рязанская область;2006;16615.4
Смоленская область;2006;9548.1
Тамбовская область;2006;21314.5
Тверская область;2006;11350.9
Тульская область;2006;16289
Ярославская область;2006;11493.2
г. Москва;2006;0
Северо-Западный федеральный округ;2006;79170.8
Республика Карелия;2006;2824.7
Республика Коми;2006;4402
Архангельская область;2006;5874.2
в том числе: ;2006;0
Ненецкий автономный округ;2006;441.5
Архангельская область без автономного округа;2006;0
Вологодская область;2006;14558.1
Калининградская область;2006;9213.2
Ленинградская область;2006;27098.2
Мурманская область;2006;1724.4
Новгородская область;2006;6195.8
Псковская область;2006;7280.2
г. Санкт-Петербург;2006;0
Южный             федеральный округ;2006;238330.8
Республика Адыгея;2006;4704.1
Республика Калмыкия;2006;6310.9
Республика Крым;2006;0
Краснодарский край;2006;111248.7
Астраханская область;2006;9147
Волгоградская область;2006;39369.9
Ростовская область;2006;67550.2
г. Севастополь;2006;0
Северо-Кавказский        федеральный округ;2006;117093.9
Республика Дагестан;2006;28163.6
Республика Ингушетия;2006;2156.6
Кабардино-Балкарская Республика;2006;14555.7
Карачаево-Черкесская Республика;2006;7971.4
Республика Северная Осетия - Алания;2006;8373.5
Чеченская Республика;2006;5277.3
Ставропольский край;2006;50595.8
Приволжский федеральный округ;2006;405288.8
Республика Башкортостан;2006;70904.4
Республика Марий Эл;2006;11145.6
Республика Мордовия;2006;18471.2
Республика Татарстан;2006;71638.6
Удмуртская Республика;2006;21828.5
Чувашская Республика;2006;14654.7
Пермский край;2006;19010
Кировская область;2006;16817.5
Нижегородская область ;2006;29038.4
Оренбургская область;2006;34053.8
Пензенская область;2006;17876.6
Самарская область;2006;28112.6
Саратовская область;2006;38650.1
Ульяновская область;2006;13086.8
Уральский         федеральный округ;2006;120196.1
Курганская область;2006;13754.8
Свердловская область ;2006;30393.2
Тюменская область;2006;30660
в том числе:;2006;0
Ханты-Мансийский автономный округ - Югра;2006;3095.6
Ямало-Ненецкий автономный округ;2006;705
Тюменская область  без автономных округов;2006;0
Челябинская область;2006;45388.1
Сибирский        федеральный округ;2006;212383.2
Республика Алтай;2006;3632
Республика Тыва;2006;2563.9
Республика Хакасия;2006;4806
Алтайский край;2006;46439.9
Красноярский край;2006;35359.2
Иркутская область;2006;21925.7
Кемеровская область;2006;20040
Новосибирская область ;2006;29596.2
Омская область;2006;37783.4
Томская область;2006;10236.9
Дальневосточный федеральный округ;2006;72606.2
Республика Бурятия;2006;8993.5
Республика Саха (Якутия);2006;13143.5
Забайкальский край;2006;9389.2
Камчатский край;2006;2628.6
Приморский край;2006;11923.1
Хабаровский край ;2006;7928.3
Амурская область;2006;9999.8
Магаданская область;2006;849.4
Сахалинская область;2006;4224.4
Еврейская автономная область;2006;3091.2
Чукотский автономный округ;2006;435.2
Центральный федеральный округ;2007;408197
Белгородская область;2007;55937.9
Брянская область;2007;16615.8
Владимирская область;2007;15328.4
Воронежская область;2007;52076
Ивановская область;2007;8245.5
Калужская область;2007;14032.1
Костромская область;2007;10051.5
Курская область;2007;30333.9
Липецкая область;2007;30891.7
Московская область;2007;52317.6
Орловская область;2007;19167.6
Рязанская область;2007;18318.4
Смоленская область;2007;10525.8
Тамбовская область;2007;26279.3
Тверская область;2007;12282.2
Тульская область;2007;21654.9
Ярославская область;2007;14138.9
г. Москва;2007;0
Северо-Западный федеральный округ;2007;85132.7
Республика Карелия;2007;3068
Республика Коми;2007;4400.6
Архангельская область;2007;5897.2
в том числе: ;2007;0
Ненецкий автономный округ;2007;419.1
Архангельская область без автономного округа;2007;5478.1
Вологодская область;2007;16402
Калининградская область;2007;10168.4
Ленинградская область;2007;29345.5
Мурманская область;2007;1969.9
Новгородская область;2007;6475.7
Псковская область;2007;7405.4
